min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph;commentGraph
3;12;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];12;10;0;2;0;0;0;19;0;0;2;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[12]];[[12]:[12:i23:10:5]:[12:i45:10:20]];[[12]:[12:i25:1:6]:[12:i35:1:11]]
3;13;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];13;10;0;0;0;0;0;228;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[13]:[13:11:-100:4]:[13:15:-200:4]:[13:9:-100:4]:[13:3:1000:4]:[13:14:-1000:4]];[[13]:[13:i23:6:4]];[[13]:[13:i22:1:17]]
3;14;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];14;10;0;0;0;0;0;228;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[14]:[14:12:-120:11]:[14:9:100:9:16]:[14:3:50:8]:[14:19:-50:8]:[14:10:150:8]:[14:9:171:17]:[14:4:-111:19]];[[14]:[14:i23:10:4]:[14:i45:5:10]:[14:i82:4:16]];[[14]:[14:i35:1:6]:[14:i42:1:14]:[14:i22:1:17]]
3;15;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];15;10;0;0;0;0;0;228;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[15]:[15:9:-100:4]:[15:3:1000:4]:[15:14:-1000:4]];[[15]:[15:i23:9:4]];[[15]:[15:i22:1:6]:[15:i21:1:12]]
3;16;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];16;10;0;0;0;0;0;228;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[16]:[16:6:-100:6]:[16:19:-200:6:7]:[16:18:-100:6]:[16:11:-250:7]:[16:3:0:8]:[16:19:-200:8]:[16:10:0:8]:[16:9:0:9:16]:[16:14:100:10]:[16:12:0:11]:[16:9:41:17]:[16:4:-71:19]];[[16]:[16:i23:10:4]:[16:i45:1:5]];[[16]:[16:i22:1:5]:[16:i35:1:5]]
3;17;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];17;10;0;0;0;0;0;228;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[17]];[[17]:[17:i23:10:4]];[[17]]
3;18;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];18;10;0;0;0;0;0;227;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[18]:[18:11:-500:7]:[18:3:50:8]:[18:19:-50:8]:[18:10:150:8]:[18:9:100:9:16]:[18:14:125:10]:[18:12:-120:11]:[18:9:145:17]:[18:4:-76:19]];[[18]:[18:i45:5:6]:[18:i23:10:8]];[[18]:[18:i20:1:4]:[18:i25:1:4]:[18:i35:1:6]]
3;19;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];19;10;0;1;0;0;0;2;0;0;0;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[19]];[[19]:[19:i45:4:6]:[19:i23:10:11]];[[19]:[19:i25:1:4]:[19:i35:1:8]:[19:i20:1:10]:[19:i57:1:16]]
4;2;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[[2:45:295:[35]:18]:[6:18:45:295]:[5:45:35:295]];2;10;0;0;0;0;0;295;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;3;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];3;0;10;0;0;2;1;3;0;0;0;0;0.0;0.0;-18.583333333333332;29.80133755133755;18.0;18.0;18.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;4;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];4;10;0;1;0;0;0;52;0;0;0;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
