min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph;commentGraph
2;14;15;150;0;6;4;0;0;14;10;0;0;0;0;0;91;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[14]];[[14]];[[14]]
2;15;15;150;0;6;4;0;0;15;10;0;0;0;0;0;87;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[15]:[15:18:500:16]:[15:29:-50:17]];[[15]:[15:i32:4:14:14]:[15:i32:5:15]];[[15]]
2;16;15;150;0;6;4;0;0;16;10;0;0;0;0;0;85;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[16]:[16:37:66:14]:[16:18:11:17]];[[16]:[16:i25:4:6]:[16:i63:5:8]:[16:i84:1:10]];[[16]:[16:i84:1:16]:[16:i54:1:14]]
2;17;15;150;0;6;4;0;0;17;10;0;0;0;0;0;84;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[17]];[[17]];[[17]]
2;18;15;150;0;6;4;0;0;18;10;0;0;0;0;0;82;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[18]:[18:29:300:10:10]:[18:29:500:11:12]:[18:29:200:9:9]:[18:13:-75:15]:[18:9:60:16:17]:[18:29:600:17]:[18:22:-100:9:18]:[18:29:650:13:16]:[18:9:120:18]:[18:22:-50:19]];[[18]:[18:i65:3:9:10]:[18:i65:-1:11]:[18:i36:3:9:10]:[18:i36:-1:11]:[18:i71:2:10:12]:[18:i71:-1:13]:[18:i77:2:10:12]:[18:i77:-2:13]:[18:i59:2:11]:[18:i30:3:13]];[[18]:[18:i32:1:16]:[18:i63:1:17]]
2;19;15;150;0;6;4;0;0;19;10;0;1;0;0;0;3;0;0;0;0;0.0;0.0;0.0;0.0;15.0;15.0;15.0;15.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[19]];[[19]];[[19]]
2;22;15;150;0;6;4;0;0;22;10;0;0;0;0;0;48;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[22]:[22:9:-42:16]:[22:29:100:9:12]:[22:18:150:11:12]:[22:29:142:13]:[22:18:93:13]];[[22]:[22:i30:5:6]:[22:i33:3:9]:[22:i65:2:9]];[[22]:[22:i30:1:19]]
3;2;16;149;11;11;4;2;0;2;10;0;0;4;0;0;195;0;5;0;0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Yousri (id=34) items: { }, parents: { 1 } by Yousri (id=13) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
3;3;16;149;11;11;4;2;0;3;5;5;1;0;1;1;43;0;0;0;0;0.0;0.0;0.0;0.0;15.0;15.0;15.0;15.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Yousri (id=34) items: { }, parents: { 1 } by Yousri (id=13) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
3;8;16;149;11;11;4;2;0;8;10;0;2;0;0;0;15;0;0;0;0;0.0;0.0;0.0;0.0;16.0;16.0;16.0;16.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Yousri (id=34) items: { }, parents: { 1 } by Yousri (id=13) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
