min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph
4;2;32;320;0;3;0;0;0;2;10;0;3;0;0;0;18;0;0;0;0;0.0;0.0;0.0;0.0;32.0;32.0;32.0;32.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[2]];[[2]]
4;3;32;320;0;3;0;0;0;3;10;0;0;0;0;0;249;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[3]];[[3]]
4;4;32;320;0;3;0;0;0;4;10;0;0;0;0;0;248;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[4]];[[4]]
4;5;32;320;0;3;0;0;0;5;10;0;0;0;0;0;243;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[5]];[[5]]
4;6;32;320;0;3;0;0;0;6;10;0;0;0;0;0;240;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[6]];[[6]]
4;7;32;320;0;3;0;0;0;7;10;0;0;0;0;0;232;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[7]];[[7]]
4;8;32;320;0;3;0;0;0;8;10;0;0;0;0;0;231;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[8]:[8:21:400:7:9]:[8:26:100:7:19]:[8:20:-200:7:19]:[8:40:200:7:7]:[8:23:100:7:7]:[8:14:-200:7:18]:[8:30:200:7:21]];[[8]:[8:i71:3:7:17]:[8:i48:7:7:14]]
4;9;32;320;0;3;0;0;0;9;10;0;0;0;0;0;230;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[9]:[9:40:0:8:9]:[9:28:-300:8:8]:[9:11:300:8:19]];[[9]:[9:i73:2:8:14]]
4;10;32;320;0;3;0;0;0;10;10;0;0;0;0;0;225;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[10]:[10:29:-300:7:12]:[10:7:0:7:10]:[10:8:-500:7:14]:[10:21:400:7:9]:[10:26:100:7:13]:[10:20:-200:7:22]:[10:40:200:7:16]:[10:23:100:7:7]:[10:14:-200:7:18]:[10:30:-100:7:21]:[10:23:600:8:11]:[10:25:300:8:12]:[10:16:-200:8:19]:[10:28:-600:8:20]:[10:9:600:8:14]:[10:11:300:8:19]:[10:24:400:9:17]:[10:28:-300:7:7]:[10:29:-200:6:6]:[10:16:200:7:7]:[10:39:300:8:13]:[10:17:-100:7:14]:[10:35:100:7]];[[10]:[10:i47:1:6:7]:[10:i47:-1:8]:[10:i48:1:7:7]:[10:i48:-2:8:17]:[10:i73:8:8:15]]
4;11;32;320;0;3;0;0;0;11;10;0;0;0;0;0;223;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[11]:[11:28:200:9:20]:[11:35:-100:10:22]:[11:40:-100:8:19]:[11:42:100:9:20]];[[11]:[11:i71:2:8:19]:[11:i73:2:8:19]:[11:i122:2:10:19]]
4;12;32;320;0;3;0;0;0;12;10;0;0;0;0;0;220;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[12]];[[12]]
4;13;32;320;0;3;0;0;0;13;10;0;0;0;0;0;216;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[13]];[[13]]
