min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;persuasionGraph;tokenGraph
3;8;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];8;10;0;0;0;0;0;166;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
3;9;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];9;10;0;1;0;0;0;31;0;0;0;0;0.0;0.0;0.0;0.0;19.0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
3;11;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];11;9;1;0;0;1;1;26;0;0;0;0;0.0;0.0;0.0;0.0;19.0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[11]:[11:23:-66:9:20]:[11:20:-200:10:15]:[11:12:-200:6:7]:[11:8:100:6:14]:[11:12:-200:8:16]:[11:20:0:8:9]:[11:17:50:8]:[11:43:-500:8]:[11:18:600:8]];[[11]:[11:i5:1:3]:[11:i62:2:6]:[11:i79:1:7]]
3;12;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];12;10;0;2;0;0;0;9;0;0;0;0;4.0;0.0;0.0;0.0;1.0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[12]:[12:16:-100:8]:[12:6:100:7]:[12:20:100:8:9]:[12:17:66:8]:[12:11:200:8]:[12:20:-33:10]:[12:21:100:11]];[[12]:[12:i58:2:5]:[12:i25:2:6]:[12:i78:2:7]:[12:i42:1:8]]
3;13;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];13;10;0;0;0;0;0;143;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[13]];[[13]]
3;14;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];14;7;3;0;0;3;3;19;0;0;0;0;0.0;3.0;0.0;0.0;19.0;1.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[14]:[14:20:-133:10:19]:[14:21:-625:11]:[14:12:34:12:16]:[14:21:-700:5:6]:[14:11:100:6:7]:[14:12:-66:6:6]:[14:21:-725:7:10]:[14:4:400:7]:[14:12:-166:7:11]:[14:6:100:7:21]:[14:18:-200:3]:[14:16:-60:8]:[14:11:300:8]];[[14]:[14:i25:1:3]:[14:i24:1:3]:[14:i28:1:3]:[14:i46:1:5]:[14:i78:1:7]:[14:i100:1:10]:[14:i136:1:11]:[14:i151:1:13]]
3;15;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];15;10;0;0;0;0;0;129;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[15]];[[15]]
3;16;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];16;10;0;0;0;0;0;107;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[16]:[16:8:100:6]:[16:11:-200:6:7]:[16:20:200:6:9]:[16:11:0:8]:[16:23:-66:9]:[16:17:50:8]:[16:20:0:10]:[16:21:133:11]:[16:4:25:14]:[16:9:-28:15]];[[16]:[16:i62:2:6]:[16:i78:2:8]:[16:i100:1:9]]
3;17;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];17;10;0;0;0;0;0;96;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[17]:[17:23:-200:9]:[17:20:-400:10:15]:[17:21:400:11]:[17:11:-42:12]:[17:4:99:14]:[17:9:-40:15]:[17:20:-382:16]:[17:22:33:16:20]:[17:4:66:8:13]];[[17]:[17:i33:6:5]:[17:i55:4:5]]
3;18;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];18;7;3;0;0;1;1;27;0;0;0;0;0.0;0.0;0.0;0.0;19.0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[18]:[18:16:-100:6]:[18:20:200:6]:[18:11:-100:6]:[18:8:100:6]:[18:14:33:8]:[18:17:33:8]:[18:12:-66:6]:[18:23:-50:9]:[18:4:22:14]];[[18]:[18:i25:3:3]:[18:i54:1:5]:[18:i62:1:5]]
