min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph
0;2;1;10;0;0;4;0;0;2;10;0;0;4;0;0;4;0;0;0;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Information (id=6): null by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[2]];[[2]]
10;2;18;173;7;5;4;6;0;2;10;0;0;4;0;0;626;0;3;0;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
10;7;18;173;7;5;4;6;0;7;9;1;0;0;1;1;34;0;0;0;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[7]];[[7]]
10;8;18;173;7;5;4;6;0;8;10;0;0;0;0;0;521;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[8]];[[8]]
10;9;18;173;7;5;4;6;0;9;10;0;2;0;0;0;47;0;0;0;0;5.0;0.0;0.0;0.0;1.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[9]];[[9]]
10;10;18;173;7;5;4;6;0;10;10;0;0;0;0;0;502;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[10]];[[10]]
10;11;18;173;7;5;4;6;0;11;10;0;0;0;0;0;480;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[11]];[[11]]
10;12;18;173;7;5;4;6;0;12;10;0;1;0;0;0;51;0;0;0;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[12]];[[12]:[12:i24:5:11:18]]
10;13;18;173;7;5;4;6;0;13;10;0;0;0;2;2;9;0;0;0;0;0.0;0.0;0.0;0.5;18.0;18.0;18.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[13]:[13:16:-100:12:12]:[13:7:-300:12:17]:[13:23:200:12:12]:[13:12:600:11:18]:[13:15:100:12:14]:[13:22:100:12:12]:[13:10:100:12]];[[13]:[13:i24:-1:10:11]:[13:i24:3:12:14]:[13:i25:2:11:15]:[13:i45:2:12:15]]
10;14;18;173;7;5;4;6;0;14;10;0;0;0;0;0;450;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KEBAB (id=34) items: { 4 }, parents: { 1 } by Mehdi (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[14]:[14:13:-100:12:15]:[14:7:-100:12:17]];[[14]:[14:i45:1:12]]
