min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerOpinion;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaValue;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph
29;17;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];17;[0100];0;10;3;0;11;5;98;0;0;3;0;0.0;0.0;39.29948717103872;116.42958068546824;31.0;31.0;20.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;18;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];18;[1100];4;6;2;0;12;8;93;0;0;3;0;0.0;554.0;101.64497787677266;14.54025710564919;31.0;11.0;7.0;25.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;19;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];19;[1110];0;10;1;0;15;12;118;0;0;3;0;0.0;0.0;106.94345461008055;139.55343728985673;31.0;31.0;5.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;20;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];20;[1000];0;10;2;0;15;12;33;0;0;2;0;0.0;600.0;100.52049277517001;173.4410807629369;31.0;10.0;9.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;21;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];21;[1011];10;0;3;0;10;4;24;0;0;2;0;0.0;0.0;4.001240691025366;55.033484418436295;31.0;31.0;26.0;16.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;22;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];22;[0101];0;10;2;0;16;7;100;0;0;4;0;1.0;0.0;100.36808021602116;116.09068254086066;4.0;31.0;7.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;23;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];23;[1011];0;10;1;0;12;7;155;0;0;0;0;0.0;42.0;126.42839900011589;70.72779367615178;31.0;20.0;2.0;13.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;24;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];24;[0011];0;10;2;0;13;6;44;0;0;1;0;0.0;519.0;42.803431250615446;31.43485913353407;31.0;12.0;19.0;20.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;25;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];25;[0111];10;0;1;0;15;0;18;0;0;1;0;0.0;0.0;0.0;0.0;31.0;31.0;29.0;31.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
29;26;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];66;244;40;1;0;426;0;[];26;[1110];0;10;2;0;12;6;208;107;0;4;0;287.0;30.0;26.01540410592737;54.77966565975748;1.0;15.0;24.0;17.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 5 (by Wall-e 27) (id=498): "value of 149" -0 by Wall-e 27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 68.51029490588905 adaptation 134.110298360645 };[];[]
