min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;persuasionGraph;tokenGraph;commentGraph
3;16;14;140;0;2;4;0;0;16;10;0;0;0;0;0;87;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[16]:[16:15:50:7]:[16:19:-200:5]:[16:12:300:12]:[16:12:200:6:11]:[16:17:100:12]:[16:13:-200:13]];[[16]:[16:i28:2:5]:[16:i43:2:11]:[16:i45:1:11]:[16:i60:2:12]:[16:i80:2:12]:[16:i46:1:13]];[[16]:[16:i36:1:8]]
3;17;14;140;0;2;4;0;0;17;10;0;0;0;0;0;52;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[17]:[17:16:200:12]:[17:12:300:12]:[17:16:100:11:11]:[17:13:-200:13]];[[17]:[17:i45:2:10]:[17:i31:2:11]:[17:i56:2:11]:[17:i60:3:12]:[17:i80:1:12]];[[17]]
3;18;14;140;0;2;4;0;0;18;10;0;0;0;0;0;36;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[18]];[[18]];[[18]]
3;19;14;140;0;2;4;0;0;19;10;0;0;0;0;0;14;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[19]];[[19]:[19:i22:3:4]:[19:i28:4:5]:[19:i31:2:5]:[19:i38:1:6]];[[19]:[19:i38:1:7]:[19:i56:1:9]:[19:i43:1:9:9]:[19:i43:1:10]]
4;2;14;131;9;5;4;4;0;2;10;0;0;4;0;0;265;0;4;0;0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
4;3;14;131;9;5;4;4;0;3;10;0;0;0;0;0;286;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
4;7;14;131;9;5;4;4;0;7;9;1;1;0;1;1;22;0;0;0;0;2.0;0.0;0.0;0.0;1.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
4;9;14;131;9;5;4;4;0;9;8;2;1;0;1;1;37;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
4;10;14;131;9;5;4;4;0;10;7;3;0;0;1;1;6;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
4;11;14;131;9;5;4;4;0;11;10;0;0;0;0;0;252;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
