min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph
4;5;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];5;8;2;2;0;1;1;5;0;0;1;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
4;6;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];6;8;2;0;0;2;1;27;0;0;0;0;0.0;0.0;0.0;2.0;7.0;7.0;7.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
4;7;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];7;9;1;1;0;2;1;46;0;0;0;0;0.0;2.0;2.0;0.0;7.0;1.0;1.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
4;8;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];8;10;0;5;0;0;0;0;0;0;5;0;3.0;0.0;0.0;0.0;1.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
5;2;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[[2:29:5:[22]:8]:[6:8:29:5]:[5:29:22:5]];2;10;0;0;0;0;0;332;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
5;3;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];3;9;1;1;0;1;1;30;0;0;0;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
5;4;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];4;10;0;1;0;1;0;44;0;0;0;0;2.0;0.0;0.0;0.0;2.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
5;5;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];5;7;3;2;0;2;2;26;0;0;1;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
5;6;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];6;5;5;0;0;3;2;13;0;0;0;0;0.0;0.0;0.0;5.0;7.0;7.0;7.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
5;7;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];7;6;4;1;0;3;2;28;4;0;0;0;1.0;2.0;2.0;0.0;3.0;2.0;1.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
