min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
5;1;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;7;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;20;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;20;13;232;1;1;1;0;0;0;0.0;0.0;0.0;0;0;0;9;76;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;21;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;21;9;232;1;1;0;2;1;0;0.5;0.0;0.5;2;4;4;6;68;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;1;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;22;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;22;7;245;1;1;1;2;0;0;0.0;0.0;1.0;2;5;5;18;74;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;24;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;24;14;276;1;1;1;0;0;0;0.0;0.0;0.0;0;0;0;6;25;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;28;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;28;17;299;1;1;1;2;0;0;0.0;0.0;1.0;2;6;6;6;50;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;31;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;31;12;343;1;1;0;1;0;0;0.0;0.0;1.0;1;2;2;4;55;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[31]:[31:28:1:5]:[31:12:1:5]]
5;32;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;32;13;345;1;1;1;0;0;0;0.0;0.0;0.0;0;0;0;15;56;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[32]:[32:13:1:5]:[32:1:1:5]]
5;34;14;123;17;8;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;34;9;358;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;48;2;0;0;0;2;2;2;2;2;2;1057429189;1057429189;0.0;1.0;1.0;5.287145945E8;true;1;0;0;0;0;0;0;0;0;idea 6 (id=34) items: { }, parents: { 21 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[34]:[34:24:1:5]:[34:9:1:5]]
6;1;14;116;24;11;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;10;0;0;0;0;0;0;0;idea 11 (id=43) items: { }, parents: { 1 } by StephT (id=16) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
