min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
4;1;32;320;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;3;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
4;33;32;320;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;33;2;260;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;11;0;2;0;0;0;0;0;0;0;0;0;1137653498;1137653498;0.0;0.0;0.0;5.68826749E8;false;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[33]]
4;34;32;320;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;34;2;272;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;1137653498;1137653498;0.0;0.0;0.0;5.68826749E8;false;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[34]:[34:1:1:4]:[34:2:1:4]]
4;36;32;320;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;36;2;290;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;1137653498;1137653498;0.0;0.0;0.0;5.68826749E8;false;0;0;0;0;0;0;0;0;0;Logistique (id=36) items: { }, parents: { 1 } by Jess (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[36]:[36:33:1:4]:[36:2:1:4]]
5;1;35;349;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0.0;0.0;1.0;1;1;1;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;4;0;0;0;0;0;0;0;on Comment améliorer l'IUT (by playerName31) (id=41): "" +1 by playerName31 (id=35) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;33;35;349;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;33;2;260;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;11;0;2;0;0;0;1;0;1;1;0;1;1137653498;1137653498;0.0;0.5;0.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Comment améliorer l'IUT (by playerName31) (id=41): "" +1 by playerName31 (id=35) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;34;35;349;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;34;2;272;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;7;0;2;0;0;0;1;0;1;1;0;1;1137653498;1137653498;0.0;0.5;0.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Comment améliorer l'IUT (by playerName31) (id=41): "" +1 by playerName31 (id=35) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;36;35;349;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;36;2;290;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;2;0;0;0;1;0;1;1;0;1;1137653498;1137653498;0.0;0.5;0.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Comment améliorer l'IUT (by playerName31) (id=41): "" +1 by playerName31 (id=35) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;38;35;349;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;38;2;307;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;13;0;2;0;0;0;1;0;1;1;0;1;1137653498;1137653498;0.0;0.5;0.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Comment améliorer l'IUT (by playerName31) (id=41): "" +1 by playerName31 (id=35) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[38]:[38:36:1:5]:[38:2:1:5]]
6;1;38;375;5;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;3;0;0;0.0;0.0;1.0;3;1;1;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;5;0;0;0;0;0;0;0;on Foufou (by 401Fernandes) (id=50): "" +3 by 401Fernandes (id=29) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;33;38;375;5;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;33;2;260;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;11;0;2;0;0;0;3;0;3;3;0;3;1137653498;1137653498;0.0;1.5;1.5;5.68826749E8;false;0;1;0;0;0;0;0;0;0;on Foufou (by 401Fernandes) (id=50): "" +3 by 401Fernandes (id=29) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;34;38;375;5;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;34;2;272;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;7;0;2;0;0;0;3;0;3;3;0;3;1137653498;1137653498;0.0;1.5;1.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Foufou (by 401Fernandes) (id=50): "" +3 by 401Fernandes (id=29) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;36;38;375;5;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;36;2;290;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;2;0;0;0;3;0;3;3;0;3;1137653498;1137653498;0.0;1.5;1.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Foufou (by 401Fernandes) (id=50): "" +3 by 401Fernandes (id=29) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;38;38;375;5;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;38;2;307;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;13;0;2;0;0;0;3;0;3;3;0;3;1137653498;1137653498;0.0;1.5;1.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Foufou (by 401Fernandes) (id=50): "" +3 by 401Fernandes (id=29) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;47;38;375;5;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;47;28;404;1;1;0;2;0;0;0.0;0.0;1.0;2;4;4;6;133;2;0;0;0;3;3;3;3;3;3;1137653498;1137653498;0.0;1.5;1.5;5.68826749E8;false;0;0;0;0;0;0;0;0;0;on Foufou (by 401Fernandes) (id=50): "" +3 by 401Fernandes (id=29) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[47]:[47:36:1:6]:[47:28:1:6]]
6;48;38;375;5;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;48;21;411;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;15;27;2;0;0;0;0;0;0;0;0;0;1137914499;1137914499;0.0;0.0;0.0;5.689572495E8;false;0;0;0;0;0;0;0;0;0;on Foufou (by 401Fernandes) (id=50): "" +3 by 401Fernandes (id=29) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[48]:[48:1:1:6]:[48:21:1:6]]
7;1;38;319;61;12;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;3;0;0;0.0;0.0;1.0;3;1;1;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;6;0;0;0;0;0;0;0;on idea 7 (by 401 Sarah C) (id=86): "" +2 by 401 Sarah C (id=39) scores{ créativité 0.0 pertinence 26.0 persuasion 6.35 adaptation 0.0 };[]
7;33;38;319;61;12;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;33;2;260;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;11;0;2;0;0;0;3;0;3;3;0;3;1137653498;1137653498;0.0;1.5;1.5;5.68826749E8;false;0;1;0;0;0;0;0;0;0;on idea 7 (by 401 Sarah C) (id=86): "" +2 by 401 Sarah C (id=39) scores{ créativité 0.0 pertinence 26.0 persuasion 6.35 adaptation 0.0 };[]
