min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
4;18;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;18;4;266;1;4;0;2;1;0;0.5;0.0;0.5;1;2;2;8;0;[1659];4;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;3.3634720475E8;false;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[18]:[18:16:1:4]:[18:4:1:4]:[18:1:1:4]]
4;19;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;19;5;268;4;4;0;0;0;0;0.0;0.0;0.0;0;0;0;5;0;[16];2;0;0;0;0;0;0;0;0;0;-1474664554;0;0.0;0.0;0.0;-7.37332277E8;false;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[19]:[19:5:1:4]:[19:16:1:4]]
4;20;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;20;8;283;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[9];2;0;0;0;1;1;1;0;0;0;-1474707158;0;0.0;0.5;0.0;-7.37353579E8;false;0;1;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[20]:[20:9:1:4]:[20:8:1:4]]
4;22;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;22;8;293;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[20];2;0;0;0;0;0;0;0;0;0;-1474630499;0;0.0;0.0;0.0;-7.373152495E8;true;1;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[22]:[22:20:1:4]:[22:8:1:4]]
4;24;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;24;7;293;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;28;0;[1];2;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[24]:[24:1:1:4]:[24:7:1:4]]
5;1;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[[2:29:5:[22]:8]:[6:8:29:5]:[5:29:22:5]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;5;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;9;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;9;5;206;1;1;0;1;0;1;0.0;1.0;0.0;0;0;0;19;0;[1];3;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;1;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;10;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;10;8;220;1;1;0;2;2;0;1.0;0.0;0.0;2;3;3;6;0;[1];3;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;1;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;12;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;12;3;233;1;1;0;1;0;0;0.0;0.0;1.0;0;0;0;11;0;[1];3;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;13;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;13;8;240;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[10];3;0;0;0;4;0;2;4;0;2;-1474692993;0;0.0;1.0;1.0;-7.373464965E8;true;2;1;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;16;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;16;8;249;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;7;0;[13];3;0;0;0;0;0;0;0;0;0;-1474673477;0;0.0;0.0;0.0;-7.373367385E8;true;2;2;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
