min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerOpinion;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaValue;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
10;99;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;45;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;99;4368;10;629;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;7;29;[82];2;0;0;0;0;0;0;0;0;0;-491663701;0;0.0;0.0;0.0;-2.458318505E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 23 (id=100) items: { }, parents: { 33 } by Wall-e 17 (id=19) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 1.0 };[[99]:[99:10:1:10]:[99:82:1:10]]
10;100;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;45;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;100;6506;19;639;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;7;29;[33];2;0;0;0;2;2;2;0;0;0;-492087495;0;0.0;1.0;0.0;-2.460437475E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 23 (id=100) items: { }, parents: { 33 } by Wall-e 17 (id=19) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 1.0 };[[100]:[100:33:1:10]:[100:19:1:10]]
11;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[[4:9:37:702:0:107:37:9:[[702:0:0]]]];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1000;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;4;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
11;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;4447;27;50;1;1;0;2;0;2;0.0;1.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;-492137987;0;0.0;0.0;0.0;-2.460689935E8;false;0;5;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
11;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;4155;5;95;2;2;0;6;1;4;0.16666666666666666;0.6666666666666666;0.16666666666666674;1;1;1;6;29;[33];2;0;0;0;2;0;2;0;0;0;-492087495;0;0.0;1.0;0.0;-2.460437475E8;false;0;1;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
11;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;6814;28;96;3;3;0;21;3;17;0.14285714285714285;0.8095238095238095;0.04761904761904767;3;5;5;6;29;[34];2;0;0;0;6;0;6;1;0;1;-492042906;0;0.0;3.0;0.5;-2.46021453E8;false;0;3;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
11;37;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;37;4881;3;120;1;1;0;3;0;1;0.0;0.3333333333333333;0.6666666666666667;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;-492137987;0;0.0;0.0;0.0;-2.460689935E8;false;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
11;39;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;39;6202;28;138;2;2;0;18;2;5;0.1111111111111111;0.2777777777777778;0.611111111111111;2;2;2;6;29;[33];2;0;0;0;2;0;2;0;0;0;-492087495;0;0.0;1.0;0.0;-2.460437475E8;false;0;4;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
11;42;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;42;6910;31;141;4;4;0;2;0;1;0.0;0.5;0.5;0;0;0;6;29;[35];2;0;0;0;21;1;21;3;0;3;-492041279;0;0.0;10.5;1.5;-2.460206395E8;false;0;2;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
11;43;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];302;8;23;1;0;52;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;43;4597;11;152;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[39];2;0;0;0;18;0;18;2;0;2;-491999700;0;0.0;9.0;1.0;-2.4599985E8;false;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 4 (by Wall-e 7) (id=107): "value of 213" +0 by Wall-e 7 (id=9) scores{ creativite 0.0 pertinence 1.0 persuasion 1.0 adaptation 0.0 };[]
