min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
1;45;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;45;9;62;4;4;0;2;1;0;0.5;0.0;0.5;1;2;2;6;29;[35];2;0;0;0;6;0;6;0;0;0;1274778844;1274778844;0.0;3.0;0.0;6.37389422E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[45]:[45:35:1:1]:[45:9:1:1]]
1;49;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;49;25;66;1;1;0;4;4;0;1.0;0.0;0.0;4;8;8;6;29;[1];2;0;0;0;0;0;0;0;0;0;1274740533;1274740533;0.0;0.0;0.0;6.373702665E8;false;0;3;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[49]:[49:25:1:1]:[49:1:1:1]]
1;50;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;50;8;69;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[49];2;0;0;0;4;0;4;4;0;4;1274807377;1274807377;0.0;2.0;2.0;6.374036885E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[50]:[50:8:1:1]:[50:49:1:1]]
1;51;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;51;5;71;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[50];2;0;0;0;0;0;0;0;0;0;1274810471;1274810471;0.0;0.0;0.0;6.374052355E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[51]:[51:5:1:1]:[51:50:1:1]]
1;53;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;53;17;75;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[49];2;0;0;0;4;0;4;4;0;4;1274807377;1274807377;0.0;2.0;2.0;6.374036885E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[53]:[53:49:1:1]:[53:17:1:1]]
1;55;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;55;29;78;3;3;0;6;5;0;0.8333333333333334;0.0;0.16666666666666663;5;9;9;7;29;[53];2;0;0;0;0;0;0;0;0;0;1274815633;1274815633;0.0;0.0;0.0;6.374078165E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[55]:[55:29:1:1]:[55:53:1:1]]
1;57;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;57;4;85;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;7;29;[34];2;0;0;0;1;1;1;1;1;1;1274775013;1274775013;0.0;0.5;0.5;6.373875065E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[57]:[57:4:1:1]:[57:34:1:1]]
1;64;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;64;16;98;4;4;0;0;0;0;0.0;0.0;0.0;0;0;0;7;29;[35];2;0;0;0;6;4;6;0;0;0;1274778844;1274778844;0.0;3.0;0.0;6.37389422E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[64]:[64:35:1:1]:[64:16:1:1]]
1;72;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;72;32;116;4;4;0;0;0;0;0.0;0.0;0.0;0;0;0;7;29;[51];2;0;0;0;0;0;0;0;0;0;1274811939;1274811939;0.0;0.0;0.0;6.374059695E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[72]:[72:32:1:1]:[72:51:1:1]]
1;74;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;74;12;118;4;4;0;0;0;0;0.0;0.0;0.0;0;0;0;7;29;[55];2;0;0;0;6;6;6;5;5;5;1274819402;1274819402;0.0;3.0;2.5;6.37409701E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[74]:[74:55:1:1]:[74:12:1:1]]
