min;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;abstract
3;9;2;8;5;2;11;9;37;0;3;3;0;12;12;2;5.33333333333333;2;3;3;1;"on tout en un (by JmInDaPlace) (id=82): ""les deux mon capitaine !"" +0 by JmInDaPlace (id=9) scores{ créativité 11.0 pertinence 12.0 persuasion 2.0 adaptation 5.333333333333334 }"
3;10;0;10;4;1;6;5;284;2;3;4;0;15;28;-0.666666666666666;5;1;1;6;2;collaborer + (id=74) items: { 30 55 }. parents: { 1 49 56 } by s (id=10) scores{ créativité 13.0 pertinence 28.0 persuasion -0.6666666666666666 adaptation 5.0 }
3;11;2;8;0;2;7;6;0;0;2;0;0;0;0;0;3.41666666666666;6;6;5;3;"on monter une association (by playerName4) (id=85): """" +2 by playerName4 (id=11) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 3.4166666666666665 }"
4;2;0;10;2;4;16;12;106;7;11;1;0;9;19;7.24999999999999;0;4;3;1;5;"on Ne pas financer les projets bidons (by Philippe) (id=94): ""tout a fait d'accord. ne marche jamais"" -0 by Philippe (id=2) scores{ créativité 9.0 pertinence 22.0 persuasion 7.249999999999999 adaptation 0.0 }"
4;7;3;7;4;2;9;7;83;1;4;2;0;3;10;4.2;1.33333333333333;5;4;2;4;"on A la recherche de la mort (by Pierre) (id=95): ""C'est une bonne solution. en effet"" +1 by Pierre (id=7) scores{ créativité 3.0 pertinence 10.0 persuasion 4.2 adaptation 1.3333333333333333 }"
4;8;3;7;1;0;6;4;372;0;0;2;0;7;0;0;-1.16666666666666;4;6;5;6;"on entreprises (by Wj) (id=81): """" +1 by Wj (id=8) scores{ créativité 7.0 pertinence 0.0 persuasion 0.0 adaptation -1.1666666666666665 }"
4;9;0;10;5;2;16;12;108;2;3;3;0;13;21;2.91666666666666;4.66666666666666;2;2;3;3;"on collaborer + (by JmInDaPlace) (id=97): ""mais si puisque l'on va augmenter la visibilité de la recherche"" +0 by JmInDaPlace (id=9) scores{ créativité 12.0 pertinence 21.0 persuasion 2.9166666666666665 adaptation 4.666666666666666 }"
4;10;0;10;4;1;6;5;284;2;3;4;0;15;28;-0.666666666666666;5;1;1;6;2;collaborer + (id=74) items: { 30 55 }. parents: { 1 49 56 } by s (id=10) scores{ créativité 13.0 pertinence 28.0 persuasion -0.6666666666666666 adaptation 5.0 }
4;11;1;9;0;2;11;9;23;0;2;0;0;0;7;0;4.66666666666666;6;5;5;2;"on changement de statut (by playerName4) (id=98): """" +-1 by playerName4 (id=11) scores{ créativité 0.0 pertinence 7.0 persuasion 0.0 adaptation 4.666666666666667 }"
5;11;1;9;0;2;11;9;23;0;2;0;0;0;7;0;4.66666666666666;6;5;5;2;"on changement de statut (by playerName4) (id=98): """" +-1 by playerName4 (id=11) scores{ créativité 0.0 pertinence 7.0 persuasion 0.0 adaptation 4.666666666666667 }"
