min;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation
4;6;10;2;0;0;1;1;90.5588235294118;0;0;0;0;0;0;0;0.666666666666666;32;32;32;3
4;7;10;0;2;0;0;0;24.8235294117647;0;0;0;0;0;0;0;0;32;32;32;32
4;8;8;2;0;0;1;1;34.1176470588235;0;0;0;0;0;0;0;0;32;32;32;32
4;9;10;0;1;0;0;0;98.7647058823529;0;0;0;0;0;0;0;0;32;32;32;32
4;10;10;0;0;0;0;0;215.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;11;10;0;0;0;0;0;208.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;12;10;0;0;0;0;0;207.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;13;10;8;1;0;3;3;18.6470588235294;0;0;0;0;0;56;0;0;34;32;34;33
4;14;10;4;1;0;1;1;30.0588235294118;31;0;0;0;27;0;0;0.8;32;34;34;32
4;15;10;0;0;0;0;0;198.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;16;10;5;0;0;1;1;76.7647058823529;0;0;0;0;0;0;0;2.5;32;32;32;2
4;17;10;4;0;0;1;1;35.9411764705882;0;0;0;0;0;0;0;0;32;32;32;32
4;18;10;2;1;0;1;1;54.9411764705882;0;0;0;0;0;0;0;0;33;33;33;33
4;19;10;4;1;0;2;1;14.3529411764706;0;0;0;0;0;28;0;4;34;32;34;32
4;20;10;0;1;0;3;0;12.0294117647059;0;0;0;0;0;0;7.16666666666666;0;34;34;32;34
4;21;10;0;1;0;0;0;35.1176470588235;0;0;0;0;0;0;0;0;32;32;32;32
4;22;10;0;0;0;0;0;186.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;23;9;1;0;0;1;1;142.117647058824;0;0;0;0;0;0;0;0;30;30;30;30
4;24;10;2;0;0;1;1;52.1764705882353;0;0;0;0;0;0;0;0;32;32;32;32
4;25;8;3;0;0;2;2;26.4411764705882;0;0;0;0;0;20;0;0;32;32;32;32
4;26;10;0;0;0;0;0;175.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;27;10;0;0;0;0;0;164.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;28;10;3;0;0;2;2;40.7058823529412;0;0;0;0;0;44;0;0;34;32;34;33
4;29;10;0;1;0;0;0;151.117647058824;0;0;0;0;0;0;0;0;34;34;34;33
4;30;10;0;0;0;0;0;157.117647058824;0;0;0;0;0;0;0;0;0;0;0;0
4;31;10;5;0;0;3;3;22.1764705882353;0;0;0;0;0;28;0;0;34;32;34;34
4;33;10;0;0;0;0;0;91.1176470588235;0;0;0;0;0;0;0;0;0;0;0;0
4;35;7;10;0;0;6;6;9.52941176470588;0;0;0;0;0;80;0;0;34;2;34;34
4;65;10;5;0;0;1;1;10.5;0;0;0;0;0;0;0;0;34;34;34;34
4;68;10;3;0;0;1;1;6.75;0;0;0;0;0;0;0;3;34;34;34;2
5;2;10;0;4;0;0;0;113.37037037037;0;0;6;0;0;0;0;0;32;32;32;32
5;3;2;10;1;0;3;3;19.2222222222222;9;0;1;0;20;52;0;0.833333333333333;3;15;34;5
5;4;8;2;0;0;1;1;42.9285714285714;0;0;0;0;0;0;0;0;34;34;34;34
5;5;10;0;0;0;0;0;283.928571428571;0;0;0;0;0;0;0;0;0;0;0;0
5;6;8;2;0;0;1;1;69.9285714285714;0;0;0;0;0;0;0;0.666666666666666;32;32;32;3
5;7;10;0;2;0;0;0;75.9285714285714;0;0;0;0;0;0;0;0;32;32;32;32
5;8;8;2;0;0;1;1;94.9285714285714;0;0;0;0;0;0;0;0;32;32;32;32
5;9;10;6;1;0;1;1;52.4642857142857;0;0;0;0;5;0;0;0;32;34;34;33
5;10;10;0;1;0;0;0;38.7142857142857;0;0;0;0;0;0;0;0;34;34;34;33
5;11;10;2;0;0;1;1;160.892857142857;0;0;0;0;0;0;0;0.222222222222222;34;34;34;9
5;12;10;3;0;0;1;1;207.928571428571;0;0;0;0;0;0;0;0;34;34;34;33
5;13;2;8;1;0;4;3;18.5;0;0;0;0;0;100;0;0;34;6;34;33
