IDBuyer;Day;Hour;Seller;Buyer;Prod;QualID;FinPrice;TransPrice;StdPrice;ProdPrice;Age;r;Qty;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10025;1;107;7;25;1;0;20;14,94;14,94;14,94;1;Qty;10;0,123843;0;11000;0;110;0;0;0,338688086;0;3,386880857;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11025;110
10041;1;109;17;41;0;6;36;31,6;31,6;17,02;0;Qty;10;0,811664;2;10200;46,1878;110;372;372;0,139240506;0,856639248;1,392405063;8,566392479;70;377;5,4;0,142857143;0,026525199;N;XP4;10241;110
10066;1;110;3;66;1;2;32;29,97;29,97;15,45;0;Qty;9;0,638694;1;11100;44,4944;110;165;165;0,067734401;0,939805825;0,60960961;8,458252427;230;383;1,7;0,039130435;0,023498695;R;XP4;11166;260
10029;1;110;8;29;0;1;20;14,47;17,8;17,81;1;Qty;10;0,323995;0;10000;0;110;0;0;0,382170007;-0,187535093;3,821700069;-1,875350926;200;271;1,4;0,05;0,036900369;B;XP4;10029;190
10049;1;111;13;49;0;1;32;29,93;29,93;16,72;0;Qty;1;0,616976;1;10100;43,1556;110;176;176;0,069161377;0,79007177;0,069161377;0,79007177;230;389;1,7;0,004347826;0,002570694;N;XP4;10149;110
10050;1;111;6;50;2;1;32;30,46;30,46;17,17;1;Qty;5;0,605208;1;12100;43,7525;110;283;283;0,050558109;0,774024461;0,252790545;3,870122306;230;528;2,3;0,02173913;0,009469697;N;XP4;12150;160
10027;1;112;7;27;1;0;20;14,94;14,94;14,94;1;Qty;8;0,123843;0;11000;0;110;0;0;0,338688086;0;2,709504685;0;220;101;0,5;0,036363636;0,079207921;B;XP4;11027;110
10060;1;114;15;60;1;2;36;33,6;33,6;18,01;0;Qty;2;0,855894;2;11200;49,206;110;202;202;0,071428571;0,865630205;0,142857143;1,731260411;50;201;4;0,04;0,009950249;R;XP4;11260;110
10039;1;115;8;39;0;1;20;14,47;17,8;17,81;1;Qty;4;0,323995;0;10000;0;120;0;0;0,382170007;-0,187535093;1,528680028;-0,750140371;200;271;1,4;0,02;0,014760148;B;XP4;10039;170
10030;1;117;16;30;1;1;24;16,23;16,23;16,23;1;Qty;10;0,249344;0;11000;0;120;0;0;0,478743068;0;4,787430684;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11030;120
10057;1;119;19;57;0;1;32;29,6;33,35;20,52;0;Qty;7;0,9999;2;10200;46,1878;120;372;372;0,081081081;0,442495127;0,567567568;3,097465887;70;377;5,4;0,1;0,018567639;R;XP4;10257;120
10044;1;119;13;44;0;1;32;29,93;29,93;16,72;0;Qty;9;0,616976;1;10100;43,1556;120;176;176;0,069161377;0,79007177;0,622452389;7,110645933;230;389;1,7;0,039130435;0,023136247;N;XP4;10144;120
10044;1;121;11;44;0;3;32;30,21;30,21;17,27;0;Qty;1;0,654675;1;10100;43,1556;120;176;176;0,059251903;0,749276202;0,059251903;0,749276202;230;389;1,7;0,004347826;0,002570694;N;XP4;10144;120
10046;1;121;17;46;0;6;36;31,6;31,6;17,02;0;Qty;2;0,811664;2;10200;46,1878;120;372;372;0,139240506;0,856639248;0,278481013;1,713278496;70;377;5,4;0,028571429;0,00530504;N;XP4;10246;120
10039;1;122;10;39;1;1;24;15,62;15,62;15,62;1;Qty;10;0,247455;0;11000;0;120;0;0;0,536491677;0;5,364916773;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11039;170
10022;1;122;6;22;0;0;24;14,51;14,51;14,51;1;Qty;1;0,284663;0;10000;0;120;0;0;0,654031702;0;0,654031702;0;200;271;1,4;0,005;0,003690037;B;XP4;10022;180
10066;1;126;6;66;2;1;32;30,46;28,32;12,89;0;Qty;4;0,614907;1;12100;43,7525;130;283;283;0,050558109;1,363072149;0,202232436;5,452288596;230;528;2,3;0,017391304;0,007575758;R;XP4;12166;260
10045;1;127;6;45;2;1;32;30,46;30,86;17,97;0;Qty;10;0,628591;1;12100;43,7525;130;283;283;0,050558109;0,695047301;0,50558109;6,950473011;230;528;2,3;0,043478261;0,018939394;N;XP4;12145;150
10042;1;127;13;42;0;1;32;29,93;32,41;18,65;0;Qty;10;0,689482;2;10200;46,1878;130;372;372;0,069161377;0,604825737;0,691613765;6,048257373;70;377;5,4;0,142857143;0,026525199;N;XP4;10242;130
10039;1;136;2;39;0;0;20;14,87;14,87;14,87;1;Qty;3;0,1713;0;10000;0;140;0;0;0,344989913;0;1,034969738;0;200;271;1,4;0,015;0,011070111;B;XP4;10039;170
10022;1;146;9;22;0;0;24;17,03;17,03;17,03;1;Qty;9;0,317122;0;10000;0;150;0;0;0,409277745;0;3,683499706;0;200;271;1,4;0,045;0,033210332;B;XP4;10022;180
10045;1;150;17;45;0;6;36;31,6;31,6;17,02;0;Qty;10;0,811664;2;10200;46,1878;150;372;372;0,139240506;0,856639248;1,392405063;8,566392479;70;377;5,4;0,142857143;0,026525199;N;XP4;10245;150
10026;1;152;16;26;1;1;24;16,23;16,23;16,23;1;Qty;1;0,249344;0;11000;0;150;0;0;0,478743068;0;0,478743068;0;220;101;0,5;0,004545455;0,00990099;B;XP4;11026;180
10051;1;156;11;51;0;3;32;30,21;30,21;17,27;0;Qty;10;0,654675;1;10100;43,1556;160;176;176;0,059251903;0,749276202;0,592519033;7,492762015;230;389;1,7;0,043478261;0,025706941;N;XP4;10151;160
10066;1;157;13;66;0;1;32;29,93;32,41;18,65;0;Qty;10;0,689482;2;10200;46,1878;160;372;372;0,069161377;0,604825737;0,691613765;6,048257373;70;377;5,4;0,142857143;0,026525199;R;XP4;10266;260
10050;1;158;13;50;0;1;32;29,93;32,41;18,65;0;Qty;1;0,689482;2;10200;46,1878;160;372;372;0,069161377;0,604825737;0,069161377;0,604825737;70;377;5,4;0,014285714;0,00265252;N;XP4;10250;160
10036;1;162;10;36;1;1;20;15,62;15,62;15,62;1;Qty;2;0,247455;0;11000;0;160;0;0;0,280409731;0;0,560819462;0;220;101;0,5;0,009090909;0,01980198;B;XP4;11036;160
10062;1;163;17;62;0;6;36;31,6;31,6;17,02;0;Qty;10;0,811664;2;10200;46,1878;160;372;372;0,139240506;0,856639248;1,392405063;8,566392479;70;377;5,4;0,142857143;0,026525199;R;XP4;10262;230
10055;1;164;13;55;0;1;32;29,93;32,49;18,81;0;Qty;10;0,9999;2;10200;46,1878;160;372;372;0,069161377;0,591174907;0,691613765;5,91174907;70;377;5,4;0,142857143;0,026525199;R;XP4;10255;260
10040;1;164;19;40;0;0;20;15,35;15,35;15,35;1;Qty;3;0,130394;0;10000;0;160;0;0;0,302931596;0;0,908794788;0;200;271;1,4;0,015;0,011070111;B;XP4;10040;160
10056;1;166;17;56;0;6;36;31,6;31,74;17,3;0;Qty;10;0,844711;2;10200;46,1878;170;372;372;0,139240506;0,826589595;1,392405063;8,265895954;70;377;5,4;0,142857143;0,026525199;R;XP4;10256;270
10039;1;174;19;39;0;0;20;15,35;15,35;15,35;1;Qty;3;0,130394;0;10000;0;170;0;0;0,302931596;0;0,908794788;0;200;271;1,4;0,015;0,011070111;B;XP4;10039;170
10024;1;175;13;24;0;0;24;16,07;16,07;16,08;1;Qty;10;0,253849;0;10000;0;180;0;0;0,493466086;-0,000621891;4,934660859;-0,006218905;200;271;1,4;0,05;0,036900369;B;XP4;10024;180
10033;1;175;18;33;1;3;20;17,5;17,5;17,5;1;Qty;10;0,318267;0;11000;0;180;0;0;0,142857143;0;1,428571429;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11033;210
10026;1;178;3;26;1;1;24;17,13;17,13;17,13;1;Qty;9;0,305169;0;11000;0;180;0;0;0,401050788;0;3,609457093;0;220;101;0,5;0,040909091;0,089108911;B;XP4;11026;180
10037;1;178;13;37;0;0;24;16,07;16,07;16,08;1;Qty;6;0,253849;0;10000;0;180;0;0;0,493466086;-0,000621891;2,960796515;-0,003731343;200;271;1,4;0,03;0,022140221;B;XP4;10037;220
10022;1;181;3;22;1;1;20;17,13;17,13;17,13;1;Qty;9;0,305169;0;11000;0;180;0;0;0,167542323;0;1,507880911;0;220;101;0,5;0,040909091;0,089108911;B;XP4;11022;180
10028;1;183;18;28;1;3;20;17,5;17,5;17,5;1;Qty;2;0,318267;0;11000;0;180;0;0;0,142857143;0;0,285714286;0;220;101;0,5;0,009090909;0,01980198;B;XP4;11028;180
10029;1;190;10;29;1;2;20;15,62;30,53;16,57;1;Qty;4;0,375453;1;11100;44,4944;190;165;165;0,280409731;-0,057332529;1,121638924;-0,229330115;230;383;1,7;0,017391304;0,010443864;B;XP4;11129;190
10061;1;197;11;61;0;3;32;30,21;30,21;17,27;0;Qty;2;0,654675;1;10100;43,1556;200;176;176;0,059251903;0,749276202;0,118503807;1,498552403;230;389;1,7;0,008695652;0,005141388;R;XP4;10161;260
10066;1;199;6;66;2;1;32;30,46;30,86;17,97;0;Qty;6;0,628591;1;12100;43,7525;200;283;283;0,050558109;0,695047301;0,303348654;4,170283806;230;528;2,3;0,026086957;0,011363636;R;XP4;12166;260
