D;0;H;76;AgId;Money;Margin;MarginRate;NewMoney;NewMargin;NewMarginRate;m_pNbPerceivedQuality;m_pTypeAgent;m_pCurrentSeller;m_pLastListenTime;m_pLeaveAfterTime;m_pArrivalTime;m_pFinishedTime;m_pElapsedTime;m_pTotalTime;m_pMakeTrustAgreements;m_pMaxQueueLength;m_pAveragePriceMarket;m_nNbUsualSellerPerProduct;m_pSpeed;m_pNegociationPart;m_pNegotiationEvolutionSpeed;m_pProbaVisitOtherSeller;m_pCompetitorImpact;m_pRigidityFactor;m_pNbNegOtherProductsUsualSeller;m_pNbNegOtherProducts;m_pNegociationPart;m_pMinimumMargin;m_pMinNbOfVisitedSellerBeforeBuy;m_pProbChangeProductResto;m_pMarketTour;m_pMarketTourNext;m_pTotalBoughtQuantity;GraphNbVisitToday;GraphBoughtToday;m_pBoughtQuantity;m_pBasicPrice;m_pPowerQual;m_pPrixQual;m_pMinimumQuality;m_pNeededQuantity;m_pTrustAgreementQuality;m_pMarketToursToday;m_pHasTrustAgreement;m_pToNegEverywhere;m_pTrustAgreementPrice;m_pIsInPrefferedList;m_pDayOfLastTransaction;m_pNbVisitToday;m_pNbVisitTodaySup0;m_pVisitedSellers;
D;1;H;0;85;-261.4;18.6;0.0711553;261.4;18.6;0.0711553;5;BuyerNeuilly;00000000;6.31667;0.2;5;6.38306;1.38306;2.5;0;8;10;3;0.75;0.0990418;0.0527727;0.0495458;5;0.797892;0.01;1;0.0990418;0.05;1;0.01;0;10;10;[[85:1:1]:[85:2:1]:[85:3:1]:[85:4:1]:[85:5:1]:[85:6:1]:[85:7:1]:[85:8:1]:[85:9:1]:[85:10:1]:[85:11:1]:[85:12:1]:[85:13:1]:[85:14:1]:[85:15:1]:[85:16:2]:[85:17:1]:[85:18:1]:[85:19:1]:[85:20:1]:];[[85:12:10]:];5;2;1;20;0.5;5;0;1;0;0.5;0;0.15;-5.95;1.05;1.05;20;
D;1;H;0;86;-561.2;78.8;0.140413;561.2;78.8;0.140413;5;BuyerResto;00000000;5.41639;0.2;5.0049;5.41639;0.411494;2.5;1;8;10;1;0.75;0.131122;0.074454;0.0461029;5;0.600279;0.01;1;0.131122;-0.95;1;0.01;1;15;20;[[86:7:1]:[86:8:1]:[86:9:1]:[86:15:1]:[86:16:1]:[86:18:1]:];[[86:15:10]:[86:18:10]:];10;2;1;20;0.6;0;0;0.5;0;0.5;0;0.1;-6;0.3;1;6;
D;1;H;0;89;-627.1;12.9;0.0205709;627.1;12.9;0.0205709;5;BuyerResto;00000000;5.26667;0.2;5;5.26667;0.266667;2.5;1;8;10;1;0.75;0.112876;0.00778437;0.0091474;5;0.509147;0.01;1;0.112876;-0.95;1;0.01;1;19;20;[[89:2:1]:[89:3:1]:[89:19:1]:];[[89:2:10]:[89:19:10]:];10;2;1;20;0.6;0;0;0.5;0;0.5;0;0.1;-6;0.15;1;3;
D;1;H;0;95;-643.6;-3.6;-0.00559354;643.6;-3.6;-0.00559354;5;BuyerResto;00000000;5.38306;0.2;5;5.38306;0.383056;2.5;1;8;10;1;0.75;0.0798143;0.0518531;0.0937555;5;0.637401;0.01;1;0.0798143;-0.95;1;0.01;1;16;20;[[95:5:1]:[95:7:1]:[95:13:1]:[95:15:1]:[95:16:1]:[95:17:1]:];[[95:7:10]:[95:13:3]:[95:16:7]:];10;2;1;20;0.6;0;0;0.5;0;0.5;0;0.1;-6;0.3;1;6;
D;1;H;0;96;-616.6;-16.6;-0.0269218;616.6;-16.6;-0.0269218;5;BuyerResto;00000000;5.15;0.2;5;5.15;0.15;2.5;1;8;10;1;0.75;0.137413;0.0375046;0.0692192;5;0.415351;0.01;1;0.137413;-0.95;1;0.01;0;0;20;[[96:11:1]:[96:14:1]:];[[96:11:10]:[96:14:10]:];10;2;1;20;0.5;0;0;0;0;0;0;0.1;-6;0.1;1;2;
D;1;H;0;100;-636.74;3.26;0.00511983;636.74;3.26;0.00511983;5;BuyerResto;00000000;5.76667;0.2;5;5.76667;0.766667;2.5;1;8;10;1;0.75;0.133097;0.0646854;0.00617358;5;0.474163;0.01;1;0.133097;-0.95;1;0.01;1;11;20;[[100:1:1]:[100:3:1]:[100:4:1]:[100:5:1]:[100:6:1]:[100:8:1]:[100:11:1]:[100:15:1]:[100:17:1]:[100:18:1]:[100:19:1]:];[[100:8:10]:[100:11:2]:[100:15:8]:];10;2;1;20;0.6;0;0;0.5;0;0.5;0;0.1;-6;0.55;1;11;
D;1;H;0;110;-580.4;19.6;0.0337698;580.4;19.6;0.0337698;5;BuyerResto;00000000;5.21639;0.2;5;5.23333;0.233333;2.5;1;8;10;1;0.75;0.159156;0.10094;0.0196134;5;0.572719;0.01;1;0.159156;-0.95;1;0.01;1;7;20;[[110:7:1]:[110:8:1]:[110:16:1]:];[[110:7:10]:[110:16:10]:];10;2;1;20;0.5;0;0;0.5;0;0.5;0;0.1;-6;0.15;1;3;
D;1;H;0;111;-250.14;149.86;0.599105;250.14;149.86;0.599105;5;BuyerTF;00000000;5.21639;0.2;5;5.23333;0.233333;2.5;0;8;10;3;0.75;0.0776282;0.0699941;1;5;0.201878;0.01;1;0.0776282;0.05;1;0.01;1;10;20;[[111:11:1]:[111:12:1]:[111:13:1]:[111:14:1]:];[[111:12:8]:[111:13:10]:[111:14:2]:];10;2;1;20;0;0;0;0;0;1;0;0.2;-6;0.2;1;4;
D;1;H;0;113;-353.9;46.1;0.130263;353.9;46.1;0.130263;5;BuyerTF;00000000;6;0.2;5;6;1;2.5;0;8;10;3;0.75;0.107102;0.0298133;1;5;0.0903304;0.01;1;0.107102;0.05;1;0.01;0;0;20;[[113:3:1]:[113:4:1]:[113:5:2]:[113:6:2]:[113:7:1]:[113:8:1]:[113:9:1]:[113:10:1]:[113:11:1]:[113:12:1]:[113:13:1]:[113:15:1]:[113:18:1]:[113:19:1]:[113:20:1]:];[[113:5:2]:[113:10:10]:[113:12:8]:];10;2;1;20;0;0;0;0;0;0;0;0.15;-6;0.85;1.13333;15;
D;1;H;0;116;-318.14;41.86;0.131577;318.14;41.86;0.131577;5;BuyerTF;00000000;5.85;0.2;5.01614;5.86667;0.85053;2.5;0;8;10;3;0.75;0.164724;0.0549877;1;5;0.317667;0.01;1;0.164724;0.05;1;0.01;0;0;10;[[116:3:1]:[116:4:1]:[116:6:1]:[116:7:1]:[116:8:1]:[116:10:1]:[116:11:1]:[116:12:1]:[116:13:1]:[116:14:1]:[116:15:1]:[116:16:1]:[116:17:1]:[116:18:1]:[116:20:1]:];[[116:8:8]:[116:10:2]:];5;2;1;20;0.4;5;0;1;0;0.5;0;0.15;-5.9;0.75;1;15;
