D;0;H;76;AgId;Money;Margin;MarginRate;NewMoney;NewMargin;NewMarginRate;m_pNbPerceivedQuality;m_pTypeAgent;m_pCurrentSeller;m_pLastListenTime;m_pLeaveAfterTime;m_pArrivalTime;m_pFinishedTime;m_pElapsedTime;m_pTotalTime;m_pMakeTrustAgreements;m_pMaxQueueLength;m_pAveragePriceMarket;m_nNbUsualSellerPerProduct;m_pSpeed;m_pNegociationPart;m_pNegotiationEvolutionSpeed;m_pProbaVisitOtherSeller;m_pCompetitorImpact;m_pRigidityFactor;m_pNbNegOtherProductsUsualSeller;m_pNbNegOtherProducts;m_pNegociationPart;m_pMinimumMargin;m_pMinNbOfVisitedSellerBeforeBuy;m_pProbChangeProductResto;m_pMarketTour;m_pMarketTourNext;m_pTotalBoughtQuantity;GraphNbVisitToday;GraphBoughtToday;m_pBoughtQuantity;m_pBasicPrice;m_pPowerQual;m_pPrixQual;m_pMinimumQuality;m_pNeededQuantity;m_pTrustAgreementQuality;m_pMarketToursToday;m_pHasTrustAgreement;m_pToNegEverywhere;m_pTrustAgreementPrice;m_pIsInPrefferedList;m_pDayOfLastTransaction;m_pNbVisitToday;m_pNbVisitTodaySup0;m_pVisitedSellers;
D;4;H;21;87;-2143.95;576.05;0.268686;471.95;208.05;0.440831;5;BuyerResto;00000000;5.61667;0.2;5.33352;5.61667;0.283149;2.5;1;8;10;1;0.75;0.0493036;0.0421922;0.0968861;5;0.537122;0.01;1;0.0493036;-0.95;1;0.01;1;12;20;[[87:6:1]:[87:9:1]:[87:11:1]:[87:12:1]:[87:13:1]:];[[87:9:5]:[87:11:10]:[87:12:5]:];10;2;1;20;0.7;0;0;0.5;0;0.5;0;0.1;-5.5;0.25;1;5;
D;4;H;24;108;-1922.05;157.95;0.0821779;449.2;70.8;0.157614;5;BuyerResto;00000000;5.56667;0.2;5.38636;5.56667;0.180302;2.5;1;8;10;1;0.75;0.0403171;0.0875534;0.0437141;5;0.655976;0.01;1;0.0403171;-0.95;1;0.01;0;0;20;[[108:7:1]:[108:17:1]:];[[108:7:10]:[108:17:10]:];10;2;1;20;0.3;0;0;0;0;0;0;0.1;-5.6;0.1;1;2;
D;4;H;27;51;-1047.5;552.5;0.527446;265.1;134.9;0.508865;5;BuyerBarbes;00000000;5.56667;0.2;5.4428;5.56667;0.123867;2.5;0;8;10;3;0.75;0.0613814;0.0765581;0.0569522;5;0.587888;0.01;1;0.0613814;0.05;1;0.01;0;0;20;[[51:13:1]:[51:14:1]:];[[51:13:10]:[51:14:10]:];10;2;1;20;0;0;0;0;0;0;0;0.15;-5.8;0.1;1;2;
D;4;H;27;76;-1838.52;401.48;0.218371;500.9;139.1;0.2777;5;BuyerNeuilly;00000000;5.65;0.2;5.43655;5.66667;0.230112;2.5;0;8;10;3;0.75;0;0.062501;0.0917509;5;0.793742;0.01;1;0;0.05;1;0.01;0;0;20;[[76:1:1]:];[[76:1:20]:];10;2;1;20;0.6;0;0;0;0;0;0;0.15;-5.65;0.05;1;1;
D;4;H;30;91;-1851.45;548.55;0.296281;224.3;135.7;0.604993;5;BuyerResto;00000000;5.9;0.2;5.48698;5.91667;0.429689;2.5;1;8;10;1;0.75;0.0834688;0.0451936;0.0321922;5;0.527113;0.01;1;0.0834688;-0.95;1;0.01;0;0;10;[[91:2:1]:[91:3:1]:[91:5:1]:[91:6:1]:[91:8:1]:[91:9:1]:[91:14:1]:[91:17:1]:];[[91:5:10]:];5;2;1;20;0.7;5;0;1.5;0;0.5;0;0.1;-5.65;0.4;1;8;
D;4;H;30;46;-1095.31;504.69;0.460774;264.51;135.49;0.51223;5;BuyerBarbes;00000000;5.83333;0.2;5.51171;5.83333;0.321619;2.5;0;8;10;3;0.75;0.108344;0.0438046;0.0873375;5;0.569833;0.01;1;0.108344;0.05;1;0.01;1;5;20;[[46:1:1]:[46:2:1]:[46:5:1]:[46:7:1]:[46:8:1]:];[[46:5:10]:[46:7:7]:[46:8:3]:];10;2;1;20;0;0;0;0.5;0;0.5;0;0.25;-5.55;0.25;1;5;
D;4;H;31;92;-2680.75;39.25;0.0146414;665.8;14.2;0.0213277;5;BuyerResto;00000000;5.7;0.2;5.5173;5.7;0.1827;2.5;1;8;10;1;0.75;0.0275838;0.0568359;0.0528433;5;0.582558;0.01;1;0.0275838;-0.95;1;0.01;0;0;20;[[92:20:1]:];[[92:20:20]:];10;2;1;20;0.7;0;0;0;0;0;0;0.05;-5.8;0.05;1;1;
D;4;H;31;97;-2306.14;413.86;0.17946;549.64;130.36;0.237173;5;BuyerResto;00000000;5.73333;0.2;5.53178;5.75;0.218218;2.5;1;8;10;1;0.75;0.126383;0.0216235;0.0751602;5;0.522039;0.01;1;0.126383;-0.95;1;0.01;1;2;20;[[97:2:1]:[97:7:1]:[97:15:1]:];[[97:2:6]:[97:7:10]:[97:15:4]:];10;2;1;20;0.7;0;0;0.5;0;0.5;0;0.1;-5.85;0.15;1;3;
D;4;H;35;118;-1441.1;478.9;0.332316;316.68;163.32;0.515726;5;BuyerTF;00000000;6.2;0.2;5.57074;6.21667;0.645929;2.5;0;8;10;3;0.75;0.122571;0.0639188;1;5;0.216828;0.01;1;0.122571;0.05;1;0.01;0;0;20;[[118:6:1]:[118:7:1]:[118:10:1]:[118:11:1]:[118:13:2]:[118:15:1]:[118:16:1]:[118:17:2]:];[[118:10:10]:[118:11:2]:[118:13:5]:[118:17:3]:];10;2;1;20;0.2;0;0;0;0;0;0;0.2;-5.35;0.5;1.25;8;
D;4;H;39;32;-1156.82;443.18;0.383102;275.04;124.96;0.454334;5;BuyerBarbes;00000000;5.81667;0.2;5.64396;5.83333;0.189373;2.5;0;8;10;3;0.75;0.180271;0.0703991;0.0685366;5;0.625641;0.01;1;0.180271;0.05;1;0.01;0;0;20;[[32:5:1]:[32:6:1]:[32:9:1]:];[[32:5:6]:[32:6:4]:[32:9:10]:];10;2;1;20;0;0;0;0;0;0;0;0.2;-5.6;0.15;1;3;
D;4;H;40;82;-1865.36;502.64;0.26946;276.34;83.66;0.302743;5;BuyerNeuilly;00000000;6.4;0.2;5.65343;6.41667;0.763233;2.5;0;8;10;3;0.75;0.0380161;0.0403644;0.040543;5;0.827973;0.01;1;0.0380161;0.05;1;0.01;0;0;10;[[82:6:1]:[82:8:1]:[82:9:1]:[82:10:1]:[82:11:1]:[82:12:1]:[82:13:1]:[82:14:1]:[82:16:1]:[82:17:1]:[82:18:1]:[82:19:1]:];[[82:10:4]:[82:19:6]:];5;2;1;20;0.7;5;0;1;0;0.5;0;0.2;-5.9;0.6;1;12;
D;4;H;42;84;-1925.02;634.98;0.329856;479.9;160.1;0.333611;5;BuyerNeuilly;00000000;5.83333;0.2;5.68671;5.83333;0.146628;2.5;0;8;10;3;0.75;0.0670506;0.0358207;0.0401205;5;0.695104;0.01;1;0.0670506;0.05;1;0.01;0;0;20;[[84:11:1]:[84:15:1]:];[[84:11:10]:[84:15:10]:];10;2;1;20;0.6;0;0;0;0;0;0;0.25;-5.55;0.1;1;2;
D;4;H;43;54;-1029.68;470.32;0.456763;258.61;141.39;0.546731;5;BuyerBarbes;00000000;5.96667;0.2;5.71054;5.96667;0.256128;2.5;0;8;10;3;0.75;0.1633;0.0489048;0.0959247;5;0.71802;0.01;1;0.1633;0.05;1;0.01;0;0;20;[[54:9:1]:[54:17:1]:];[[54:9:3]:[54:17:17]:];10;2;1;20;0;0;0;0;0;0;0;0.25;-5.65;0.1;1;2;
D;4;H;44;43;-1284.28;435.72;0.339272;324.36;75.64;0.233198;5;BuyerBarbes;00000000;6.15;0.2;5.72291;6.16667;0.443756;2.5;0;8;10;3;0.75;0.0695387;0.0564495;0.0971529;5;0.631065;0.01;1;0.0695387;0.05;1;0.01;0;0;18;[[43:5:1]:[43:8:1]:[43:9:1]:[43:11:1]:[43:12:2]:[43:14:1]:];[[43:8:5]:[43:9:5]:[43:11:8]:];9;2;1;20;0.1;1;0;1;0;0.5;0;0.25;-5.5;0.35;1.16667;6;
D;4;H;45;60;-1470.3;549.7;0.373869;366;214;0.584699;5;BuyerBarbes;00000000;6;0.2;5.74666;6;0.253345;2.5;0;8;10;3;0.75;0.10937;0.0419373;0.100261;5;0.547673;0.01;1;0.10937;0.05;1;0.01;0;0;25;[[60:2:1]:[60:5:1]:[60:7:1]:];[[60:2:10]:[60:5:5]:[60:7:10]:];12.5;2;1;20;0.2;-2.5;0;0;0;0;0;0.15;-5.85;0.15;1;3;
D;4;H;45;64;-2038.75;517.25;0.253709;308.03;87.97;0.285589;5;BuyerNeuilly;00000000;6.31667;0.2;5.74719;6.88333;1.13614;2.5;0;8;10;3;0.75;0.149765;0.0854518;0.0297252;5;0.930983;0.01;1;0.149765;0.05;1;0.01;0;1;11;[[64:1:1]:[64:2:1]:[64:3:1]:[64:4:1]:[64:5:1]:[64:6:1]:[64:7:1]:[64:8:1]:[64:9:1]:[64:10:1]:[64:11:1]:[64:12:1]:[64:13:1]:[64:14:1]:[64:15:1]:[64:16:1]:[64:17:1]:[64:18:1]:[64:19:1]:[64:20:2]:];[[64:7:4]:[64:8:6]:[64:15:1]:];5.5;2;1;20;0.8;4.5;0;0.5;0;0.5;0;0.2;-5.55;1.05;1.05;20;
D;4;H;46;62;-1590.8;449.2;0.282374;555.2;124.8;0.224784;5;BuyerNeuilly;00000000;5.98333;0.2;5.77648;5.98333;0.206854;2.5;0;8;10;3;0.75;0.0353822;0.0404228;0.0515281;5;0.748871;0.01;1;0.0353822;0.05;1;0.01;0;0;20;[[62:1:1]:[62:15:1]:];[[62:1:10]:[62:15:10]:];10;2;1;20;0.7;0;0;0;0;0;0;0.15;-5.85;0.1;1;2;
D;4;H;46;70;-1679.67;576.33;0.343121;471.76;208.24;0.441411;5;BuyerNeuilly;00000000;6.25;0.2;5.77559;6.25;0.474407;2.5;0;8;10;3;0.75;0.0400511;0.0329741;0.057308;5;0.858092;0.01;1;0.0400511;0.05;1;0.01;1;19;20;[[70:3:1]:[70:5:1]:[70:6:1]:[70:9:1]:[70:15:1]:[70:17:1]:[70:19:1]:];[[70:3:10]:[70:5:9]:[70:19:1]:];10;2;1;20;0.7;0;0;0.5;0;0.5;0;0.25;-5.4;0.35;1;7;
D;4;H;47;48;-1262.31;417.69;0.330893;360.99;119.01;0.329677;5;BuyerBarbes;00000000;6.08333;0.2;5.79253;6.1;0.307468;2.5;0;8;10;3;0.75;0.00261639;0.0668617;0.106464;5;0.606112;0.01;1;0.00261639;0.05;1;0.01;1;17;20;[[48:6:1]:[48:7:1]:[48:9:1]:[48:16:1]:[48:17:1]:];[[48:6:1]:[48:7:1]:[48:9:10]:[48:17:8]:];10;2;1;20;0.2;0;0;0.5;0;0.5;0;0.25;-5.2;0.25;1;5;
D;4;H;48;30;-1181.09;518.91;0.439348;301.34;158.66;0.526515;5;BuyerBarbes;00000000;6.16667;0.2;5.808;6.18333;0.375335;2.5;0;8;10;3;0.75;0.112331;0.0324314;0.0869818;5;0.573512;0.01;1;0.112331;0.05;1;0.01;0;0;19;[[30:14:1]:[30:17:1]:[30:18:1]:[30:19:1]:[30:20:1]:];[[30:17:9]:[30:18:9]:[30:19:1]:];9.5;2;1;20;0.2;0.5;0;1;0;0.5;0;0.25;-5.5;0.25;1;5;
D;4;H;48;65;-1643.76;396.24;0.241057;204.8;115.2;0.5625;5;BuyerNeuilly;00000000;6.1;0.2;5.8081;6.96667;1.15857;2.5;0;8;10;3;0.75;0.0496351;0.0501385;0.0795318;5;0.867764;0.01;1;0.0496351;0.05;1;0.01;0;1;10;[[65:1:1]:[65:2:1]:[65:3:1]:[65:4:1]:[65:5:1]:[65:6:1]:[65:7:1]:[65:8:1]:[65:9:1]:[65:10:1]:[65:11:1]:[65:12:1]:[65:13:1]:[65:14:1]:[65:15:1]:[65:16:1]:[65:17:1]:[65:18:1]:[65:19:2]:[65:20:1]:];[[65:11:10]:];5;2;1;20;0.7;5;0;0.5;0;0.5;0;0.25;-5.55;1.05;1.05;20;
D;4;H;53;83;-1968.31;591.69;0.300608;513.29;166.71;0.324787;5;BuyerNeuilly;00000000;7.01667;0.2;5.87344;7.03333;1.1599;2.5;0;8;10;3;0.75;0.0634415;0.0315946;0.0517312;5;0.943749;0.01;1;0.0634415;0.05;1;0.01;0;18;20;[[83:1:1]:[83:2:1]:[83:3:1]:[83:4:1]:[83:5:1]:[83:6:2]:[83:7:1]:[83:8:1]:[83:9:1]:[83:10:1]:[83:11:1]:[83:12:1]:[83:13:1]:[83:14:1]:[83:15:1]:[83:16:1]:[83:17:1]:[83:18:1]:[83:19:1]:[83:20:2]:];[[83:1:4]:[83:2:3]:[83:6:6]:[83:20:7]:];10;2;1;20;0.7;0;0;1;0;0.5;0;0.3;-5.5;1.1;1.1;20;
D;4;H;54;27;-989.09;530.91;0.536766;311.87;128.13;0.410844;5;BuyerBarbes;00000000;6.68333;0.2;5.88716;6.68333;0.796176;2.5;0;8;10;3;0.75;0.0474327;0.0647255;0.0926641;5;0.569657;0.01;1;0.0474327;0.05;1;0.01;0;0;20;[[27:7:2]:[27:9:1]:[27:10:2]:[27:11:1]:[27:12:1]:[27:16:1]:[27:17:1]:[27:19:1]:[27:20:1]:];[[27:7:1]:[27:10:2]:[27:11:5]:[27:12:2]:[27:16:3]:[27:17:7]:];10;2;1;20;0.1;0;0;1;0;0;0;0.3;-5.45;0.55;1.22222;9;
D;4;H;54;103;-1599.12;224.88;0.140627;332.45;107.55;0.323507;5;BuyerResto;00000000;6.4;0.2;5.89695;6.41667;0.519714;2.5;1;8;10;1;0.75;0.0610247;0.0407765;0.042688;5;0.636721;0.01;1;0.0610247;-0.95;1;0.01;0;0;15;[[103:8:1]:[103:9:1]:[103:10:1]:[103:12:1]:[103:14:1]:[103:15:1]:[103:16:1]:[103:20:1]:];[[103:8:10]:[103:16:5]:];7.5;2;1;20;0.5;2.5;0;1.5;0;0.5;0;0.1;-5.3;0.4;1;8;
D;4;H;56;47;-1069.15;490.85;0.459103;256.2;143.8;0.56128;5;BuyerBarbes;00000000;6.15;0.2;5.92295;6.15;0.227052;2.5;0;8;10;3;0.75;0.124969;0.0275536;0.134242;5;0.533987;0.01;1;0.124969;0.05;1;0.01;0;0;20;[[47:2:1]:[47:8:1]:[47:9:1]:];[[47:2:10]:[47:8:5]:[47:9:5]:];10;2;1;20;0;0;0;0;0;0;0;0.2;-5.4;0.15;1;3;
D;4;H;58;44;-948.9;451.1;0.475393;260.8;139.2;0.533742;5;BuyerBarbes;00000000;6.38333;0.2;5.95671;6.38333;0.426621;2.5;0;8;10;3;0.75;0.161159;0.0727009;0.0882724;5;0.636304;0.01;1;0.161159;0.05;1;0.01;0;0;20;[[44:2:1]:[44:5:1]:[44:6:1]:[44:13:1]:[44:14:2]:[44:16:1]:];[[44:2:8]:[44:6:8]:[44:13:2]:[44:14:2]:];10;2;1;20;0;0;0;0;0;0;0;0.3;-5.4;0.35;1.16667;6;
D;4;H;58;78;-1771.63;464.37;0.262115;425.81;214.19;0.503018;5;BuyerNeuilly;00000000;6.35;0.2;5.951;6.35;0.398998;2.5;0;8;10;3;0.75;0.184666;0.0435441;0.0907223;5;0.722132;0.01;1;0.184666;0.05;1;0.01;0;0;20;[[78:8:1]:[78:11:1]:[78:16:1]:[78:19:2]:[78:20:1]:];[[78:8:3]:[78:11:7]:[78:19:10]:];10;2;1;20;0.6;0;0;0;0;0;0;0.25;-5.5;0.3;1.2;5;
D;4;H;58;99;-2224.9;359.1;0.161401;427.65;252.35;0.590085;5;BuyerResto;00000000;6.13333;0.2;5.95073;6.13333;0.182606;2.5;1;8;10;1;0.75;0.149759;0.0622066;0.0742013;5;0.645998;0.01;1;0.149759;-0.95;1;0.01;0;0;20;[[99:16:1]:[99:19:1]:];[[99:16:9]:[99:19:11]:];10;2;1;20;0.7;0;0;0;0;0;0;0.05;-5.5;0.1;1;2;
D;4;H;59;23;-1277.92;382.08;0.298986;362.22;77.78;0.214731;5;BuyerBarbes;00000000;7.15;0.2;5.98136;7.16667;1.18531;2.5;0;8;10;3;0.75;0.251152;0.0304301;0.100586;5;0.64774;0.01;1;0.251152;0.05;1;0.01;0;0;20;[[23:1:1]:[23:2:1]:[23:3:1]:[23:4:1]:[23:5:1]:[23:9:2]:[23:11:1]:[23:12:1]:[23:13:1]:[23:14:1]:[23:15:2]:[23:16:1]:[23:18:1]:[23:19:2]:[23:20:1]:];[[23:9:1]:[23:13:3]:[23:18:16]:];10;2;1;20;0.1;0;0;0.5;0;0;0;0.25;-5.2;0.9;1.2;15;
D;4;H;59;90;-2350.81;189.19;0.0804786;442.22;165.78;0.374881;5;BuyerResto;00000000;7.21667;0.2;5.97245;7.23333;1.26088;2.5;1;8;10;1;0.75;0.165008;0.00646008;0.0273617;5;0.673297;0.01;1;0.165008;-0.95;1;0.01;0;7;18;[[90:1:1]:[90:2:1]:[90:3:1]:[90:4:1]:[90:5:1]:[90:6:2]:[90:7:1]:[90:8:1]:[90:9:1]:[90:10:1]:[90:11:1]:[90:12:1]:[90:13:1]:[90:14:1]:[90:15:1]:[90:16:1]:[90:17:1]:[90:18:1]:[90:19:1]:[90:20:1]:];[[90:6:10]:[90:20:8]:];9;2;1;20;0.7;1;0;1;0;0.5;0;0.1;-5.4;1.05;1.05;20;
D;4;H;61;37;-949.93;450.07;0.473793;265.2;134.8;0.508296;5;BuyerBarbes;00000000;6.3;0.2;6.00249;6.31667;0.314176;2.5;0;8;10;3;0.75;0.0866925;0.0467971;0.157811;5;0.696196;0.01;1;0.0866925;0.05;1;0.01;0;0;20;[[37:15:1]:[37:17:1]:[37:18:1]:[37:19:1]:[37:20:1]:];[[37:15:10]:[37:20:10]:];10;2;1;20;0;0;0;0;0;0;0;0.25;-5.7;0.25;1;5;
D;4;H;61;75;-1708.92;531.08;0.310769;429.34;210.66;0.49066;5;BuyerNeuilly;00000000;6.73333;0.2;6.0233;6.75;0.726699;2.5;0;8;10;3;0.75;0.102558;0.0428404;0.0402877;5;0.804856;0.01;1;0.102558;0.05;1;0.01;0;0;20;[[75:1:1]:[75:3:2]:[75:4:2]:[75:7:1]:[75:9:1]:[75:10:1]:[75:11:1]:[75:12:1]:[75:13:1]:[75:16:1]:[75:17:1]:];[[75:3:9]:[75:4:1]:[75:7:9]:[75:11:1]:];10;2;1;20;0.6;0;0;0.5;0;0;0;0.3;-5.5;0.65;1.18182;11;
D;4;H;61;79;-1236.75;299.25;0.241965;296.83;87.17;0.29367;5;BuyerNeuilly;00000000;6.43333;0.2;6.02812;6.45;0.421884;2.5;0;8;10;3;0.75;0.156563;0.0625178;0.0987046;5;0.600087;0.01;1;0.156563;0.05;1;0.01;0;0;12;[[79:4:1]:[79:12:1]:[79:13:1]:[79:16:1]:[79:19:1]:[79:20:1]:];[[79:12:7]:[79:19:5]:];6;2;1;20;0.6;4;0;1;0;0.5;0;0.2;-5.4;0.3;1;6;
D;4;H;63;61;-2038.1;521.9;0.256072;390.3;249.7;0.639764;5;BuyerNeuilly;00000000;6.26667;0.2;6.06638;6.26667;0.200284;2.5;0;8;10;3;0.75;0.141019;0.0508731;0.0617297;5;0.600144;0.01;1;0.141019;0.05;1;0.01;0;0;20;[[61:2:1]:[61:7:1]:];[[61:2:10]:[61:7:10]:];10;2;1;20;0.6;0;0;0;0;0;0;0.2;-5.7;0.1;1;2;
D;4;H;63;120;-999.97;220.03;0.220037;306.6;93.4;0.304631;5;BuyerTF;00000000;6.33333;0.2;6.06228;6.35;0.287718;2.5;0;8;10;3;0.75;0.0427274;0.0572559;1;5;0.0975399;0.01;1;0.0427274;0.05;1;0.01;1;13;20;[[120:3:1]:[120:5:1]:[120:9:1]:[120:10:1]:];[[120:3:10]:[120:10:10]:];10;2;1;20;0;0;0;0;0;1;0;0.25;-5.25;0.2;1;4;
D;4;H;65;109;-1383.72;364.28;0.263261;220.6;99.4;0.450589;5;BuyerResto;00000000;6.18333;0.2;6.08036;7.03333;0.952974;2.5;1;8;10;1;0.75;0.168898;0.0278809;0.0949549;5;0.550901;0.01;1;0.168898;-0.95;1;0.01;0;1;10;[[109:1:1]:[109:2:1]:[109:3:1]:[109:4:1]:[109:5:1]:[109:6:1]:[109:7:1]:[109:8:1]:[109:9:1]:[109:10:1]:[109:11:1]:[109:12:1]:[109:13:1]:[109:14:1]:[109:15:1]:[109:16:1]:[109:17:1]:[109:18:1]:[109:19:1]:[109:20:1]:];[[109:7:10]:];5;2;1;20;0.7;5;0;0.5;0;0.5;0;0.05;-5.9;1;1;20;
D;4;H;65;42;-1216.61;303.39;0.249373;347;93;0.268012;5;BuyerBarbes;00000000;6.23333;0.2;6.09692;6.23333;0.136417;2.5;0;8;10;3;0.75;0.122855;0.0258786;0.0663348;5;0.608444;0.01;1;0.122855;0.05;1;0.01;0;0;20;[[42:11:1]:[42:12:1]:];[[42:11:10]:[42:12:10]:];10;2;1;20;0.1;0;0;0;0;0;0;0.3;-5.65;0.1;1;2;
D;4;H;71;29;-885.23;434.77;0.491138;292.13;147.87;0.506179;5;BuyerBarbes;00000000;6.98333;0.2;6.17388;6.98333;0.809456;2.5;0;8;10;3;0.75;0.162515;0.0772423;0.0938364;5;0.822619;0.01;1;0.162515;0.05;1;0.01;1;8;20;[[29:1:1]:[29:2:1]:[29:3:1]:[29:4:1]:[29:5:1]:[29:8:1]:[29:10:1]:[29:11:1]:[29:12:1]:[29:14:1]:[29:15:1]:[29:17:1]:[29:18:1]:];[[29:1:1]:[29:3:10]:[29:8:9]:];10;2;1;20;0.1;0;0;1;0;0.5;0;0.2;-5.5;0.65;1;13;
D;4;H;71;101;-1095.04;332.96;0.304062;512.4;167.6;0.327088;5;BuyerResto;00000000;6.35;0.2;6.17571;6.36667;0.190959;2.5;1;8;10;1;0.75;0.0929329;0.0230905;0.0129987;5;0.548932;0.01;1;0.0929329;-0.95;1;0.01;0;0;20;[[101:1:1]:[101:2:1]:];[[101:1:10]:[101:2:10]:];10;2;1;20;0.7;0;0;0;0;0;28.49;0.1;-5.8;0.1;1;2;
D;4;H;73;57;-964.1;435.9;0.452132;274.8;125.2;0.455604;5;BuyerBarbes;00000000;6.41667;0.2;6.20082;6.41667;0.215842;2.5;0;8;10;3;0.75;0.14273;0.0529459;0.0645659;5;0.653789;0.01;1;0.14273;0.05;1;0.01;0;0;20;[[57:16:1]:[57:20:1]:];[[57:16:10]:[57:20:10]:];10;2;1;20;0;0;0;0;0;0;0;0.2;-5.7;0.1;1;2;
D;4;H;73;66;-1444.95;347.05;0.240181;425.02;118.98;0.27994;5;BuyerNeuilly;00000000;6.93333;0.2;6.21471;7.31667;1.10196;2.5;0;8;10;3;0.75;0.213063;0.107519;0.0290672;5;0.592411;0.01;1;0.213063;0.05;1;0.01;0;12;17;[[66:1:1]:[66:2:1]:[66:3:1]:[66:4:1]:[66:5:1]:[66:6:1]:[66:7:1]:[66:8:1]:[66:9:1]:[66:10:1]:[66:11:1]:[66:12:1]:[66:13:1]:[66:14:1]:[66:15:1]:[66:16:1]:[66:17:1]:[66:18:1]:[66:19:1]:[66:20:1]:];[[66:2:7]:[66:19:10]:];8.5;2;1;20;0.6;1.5;0;0.5;0;0.5;0;0.25;-5.75;1;1;20;
D;4;H;73;80;-1683.09;556.91;0.330885;406.18;233.82;0.575656;5;BuyerNeuilly;00000000;6.38333;0.2;6.20936;6.38333;0.173976;2.5;0;8;10;3;0.75;0.184762;0.0519684;0.0849753;5;0.624015;0.01;1;0.184762;0.05;1;0.01;0;0;20;[[80:6:1]:[80:7:1]:];[[80:6:7]:[80:7:13]:];10;2;1;20;0.6;0;0;0;0;0;0;0.25;-5.55;0.1;1;2;
D;4;H;74;25;-1027.19;452.81;0.440824;277.45;122.55;0.441701;5;BuyerBarbes;00000000;6.93333;0.2;6.22813;6.95;0.721874;2.5;0;8;10;3;0.75;0.0623889;0.0563593;0.0983723;5;0.676764;0.01;1;0.0623889;0.05;1;0.01;0;0;20;[[25:2:1]:[25:3:1]:[25:4:1]:[25:8:1]:[25:13:1]:[25:14:2]:[25:15:1]:[25:16:1]:[25:18:1]:[25:20:1]:];[[25:8:4]:[25:13:6]:[25:14:7]:[25:16:3]:];10;2;1;20;0;0;0;0.5;0;0;0;0.3;-5.5;0.55;1.1;10;
D;4;H;74;74;-1298.81;489.19;0.376645;246.6;73.4;0.297648;5;BuyerNeuilly;00000000;6.38333;0.2;6.23141;7.4;1.16859;2.5;0;8;10;3;0.75;0.129146;0.0490304;0.0721838;5;1.00609;0.01;1;0.129146;0.05;1;0.01;0;15;10;[[74:1:1]:[74:2:1]:[74:3:1]:[74:4:1]:[74:5:1]:[74:6:1]:[74:7:1]:[74:8:1]:[74:9:1]:[74:10:1]:[74:11:1]:[74:12:1]:[74:13:1]:[74:14:1]:[74:15:1]:[74:16:1]:[74:17:1]:[74:18:1]:[74:19:1]:[74:20:1]:];[[74:19:10]:];5;2;1;20;0.7;5;0;0.5;0;0.5;0;0.25;-5.6;1;1;20;
D;4;H;75;36;-1360.36;399.64;0.293775;317.8;122.2;0.384519;5;BuyerBarbes;00000000;6.4;0.2;6.24206;6.4;0.157938;2.5;0;8;10;3;0.75;0.170288;0.0594128;0.129486;5;0.620604;0.01;1;0.170288;0.05;1;0.01;0;0;20;[[36:16:1]:];[[36:16:20]:];10;2;1;20;0.1;0;0;0;0;0;0;0.25;-5.55;0.05;1;1;
D;4;H;76;21;-964.52;355.48;0.368556;317.44;122.56;0.386089;5;BuyerBarbes;00000000;6.86667;0.2;6.25;6.86667;0.616667;2.5;0;8;10;3;0.75;0.0573416;0.0647095;0.0976663;5;0.491123;0.01;1;0.0573416;0.05;1;0.01;1;16;20;[[21:5:1]:[21:6:1]:[21:11:1]:[21:16:1]:[21:19:1]:];[[21:6:2]:[21:16:10]:[21:19:8]:];10;2;1;20;0.1;0;0;0.5;0;0.5;0;0.25;-5.5;0.25;1;5;
D;4;H;76;28;-970.24;309.76;0.319261;302.88;97.12;0.320655;5;BuyerBarbes;00000000;7.66667;0.2;6.25;7.68333;1.43333;2.5;0;8;10;3;0.75;0.149866;0.035736;0.102934;5;0.539703;0.01;1;0.149866;0.05;1;0.01;0;12;20;[[28:1:1]:[28:2:1]:[28:3:2]:[28:4:1]:[28:5:1]:[28:6:1]:[28:7:1]:[28:8:1]:[28:9:1]:[28:10:1]:[28:11:1]:[28:12:1]:[28:13:1]:[28:14:1]:[28:15:1]:[28:16:1]:[28:17:1]:[28:18:1]:[28:19:1]:[28:20:1]:];[[28:3:7]:[28:10:10]:[28:14:3]:];10;2;1;20;0;0;0;1;0;0.5;0;0.35;-5.1;1.05;1.05;20;
D;4;H;76;31;-1177.4;322.6;0.273994;332.8;107.2;0.322115;5;BuyerBarbes;00000000;6.7;0.2;6.25;6.7;0.45;2.5;0;8;10;3;0.75;0.0971968;0.001;0.105955;5;0.457487;0.01;1;0.0971968;0.05;1;0.01;0;0;20;[[31:3:2]:[31:9:1]:[31:15:1]:[31:17:1]:[31:20:1]:];[[31:3:5]:[31:15:5]:[31:17:10]:];10;2;1;20;0.1;0;0;0;0;0;0;0.25;-5.6;0.3;1.2;5;
D;4;H;76;33;-1033.17;334.83;0.32408;345.8;94.2;0.272412;5;BuyerBarbes;00000000;6.65;0.2;6.25;6.66667;0.416667;2.5;0;8;10;3;0.75;0.0980928;0.0714056;0.129238;5;0.684276;0.01;1;0.0980928;0.05;1;0.01;0;0;20;[[33:1:1]:[33:12:1]:[33:13:1]:[33:16:2]:[33:17:1]:[33:18:1]:];[[33:13:10]:[33:16:10]:];10;2;1;20;0.1;0;0;0;0;0;0;0.3;-5.45;0.35;1.16667;6;
