time;playerId;NbActivity;MoytotalRemainingTokens;MoytotalUsedTokens;MoytotalIdeas;MoytotalItems;MoytotalComments;Somme de playerRemainingTokens;MoyplayerUsedTokens;MoyplayerIdeas;MoyplayerItems;MoyplayerComments;MoyplayerTimeSinceAction;MoyplayerVotes;MoyplayerBestIdeaScore;MoyplayerItemUsage;MoyplayerIdeaUsage;MoyplayerCommentUsage;Moyplayercréativité;Moyplayerpertinence;Moyplayerpersuasion;Moyplayeradaptation;Moyrankcréativité;Moyrankpertinence;Moyrankpersuasion;Moyrankadaptation;NbitemCreationTime;NbideaOwnerId;MoyideaCreationTime;MoyideaDepthMin;MoyideaDepthMax;MoyideaItems;MoyideaComments;MoyPositiveComments;MoyNegativeComments;MoyPositiveProportion;MoyNegativeProportion;MoyNulProportion;MoyideaVotes;MoyideaTokens;MoyideaShortLength;MoyideaLongLength;MoyideaTokensMax;MoyideaParentItems;MoyideaParentItemsMin;MoyideaParents;MoyideaParentItemsMax;MoyideaParentComments;MoyideaParentCommentsMin;MoyideaParentCommentsMax;MoyideaParentVotes;MoyideaParentVotesMin;MoyideaParentVotesMax;MoyideaParentItemMean;MoyideaParentCommentsMean;MoyideaParentVotesMean;MoyideaSameOwnerParents;Moychildrens;MoycommentCreationTime;MoycommentSize;MoycommentRank;MoyvoteTokens;MoyvoteValence
2;2;6;18.6666666666667;41.3333333333333;11.5;8.33333333333333;33.5;10;8.33333333333333;1.5;4;10;29.1666666666667;9;6.66666666666667;10;1;0;6;16;4.16666666666666;0;4;2.83333333333333;1;5;6;6;796.666666666667;1.5;2;1;2.16666666666667;0.666666666666667;0;0.333333333333333;0;0.5;2.16666666666667;2.83333333333333;29.5;32.3333333333333;3.83333333333333;1;0.833333333333333;2.33333333333333;1;3.5;2.16666666666667;3.16666666666667;3.5;2.16666666666667;3.16666666666667;0.458333333333333;1.5;1.5;0;0.833333333333333;750.666666666667;0;0;-0.166666666666667;0.166666666666667
2;7;5;15.2;44.8;13.6;9.8;38.4;34;3.2;3.8;2;3.2;53.2;3.2;0.6;3.8;2;0;3;5.2;3.23333333333333;0.133333333333333;5;4;2;4.6;5;5;714.4;1;1.6;2;1.4;0.4;0;0.1;0;0.5;1.2;1;29.8;42.2;1.4;1.4;0.2;3.2;0.8;5.4;2.4;3.4;5.4;2.4;3.4;0.266666666666667;1.46666666666667;1.46666666666667;0.4;0.4;627.8;2.4;0;0.6;0.2
2;8;1;18;42;11;8;34;4;6;1;0;5;89;3;0;0;2;0;7;0;0;-1.16666666666666;3;6;5;6;1;1;818;2;3;3;1;0;0;0;0;1;0;0;26;46;0;5;1;6;2;4;0;2;4;0;2;0.833333333333333;0.666666666666666;0.666666666666666;2;0;892;47;0;0;0
2;9;4;17.75;42.25;12.75;10;36.75;15;6.25;3.75;2;8.75;47.5;7.75;0;1.75;2;0;11;13;2;3.25;2;3;3;2;4;4;572.25;1;1.25;0.5;1.75;0.75;0;0.225;0;0.275;1.75;2.75;21;29.25;3;0.5;0.5;1.5;0.5;2.25;1.5;2.25;2.25;1.5;2.25;0.25;1.125;1.125;0;0.5;493;0;0;0.5;0
3;2;2;12.5;47.5;15.5;11;46;2;9;2;4;13.5;185;11;7;11;1;0;9;22;7.37499999999999;0;3;2;1;5;2;2;978.5;1;1.5;2;1.5;0.5;0;0.25;0;0.75;0.5;0.5;32.5;50.5;0.5;0.5;0;3;0.5;7;4;5;7;4;5;0.125;2.25;2.25;0;0;1248.5;29;0;0;0.5
3;7;2;13;47;15.5;11;44;9;5.5;4;2;6.5;86;5.5;1;4;2;0;3;5;3.16666666666666;0.333333333333333;5;4;2;4;2;2;1188.5;1;2;1;1;0.5;0.5;0.5;0.5;0;0.5;0.5;14.5;55;0.5;1.5;0;4;1;6.5;2.5;4;6.5;2.5;4;0.25;1.75;1.75;0.5;0;1212.5;25;0;0.5;0
3;8;1;12;48;16;11;47;3;7;1;0;6;372;4;0;0;2;0;7;0;0;-1.16666666666666;4;6;5;6;1;1;853;1;2;2;2;0;0;0;0;1;2;3;11;60;3;1;0;4;1;8;1;4;8;1;4;0.25;2;2;0;2;1264;0;0;1;0
3;9;2;13;47;16;11;46;4;8;5;2;10.5;145.5;9;0;3;3;0;11.5;12;2;5.33333333333333;2;3;3;1;2;2;931.5;2;2;0.5;3.5;0.5;1;0.071428571428571;0.142857142857142;0.285714285714285;1;1.5;13.5;83.5;1.5;0;0;2;0;5;3;5;5;3;5;0;2.5;2.5;0;0;638.5;12;0;0;0
3;10;1;13;47;15;11;41;0;10;4;1;6;284;5;2;3;4;0;15;28;-0.666666666666666;5;1;1;6;2;1;1;1137;1;3;2;0;0;0;0;0;0;0;0;12;31;0;3;0;6;2;9;1;4;9;1;4;0.5;1.5;1.5;1;0;0;0;0;0;0
3;11;5;13.4;46.6;15.4;11;46.2;11;7.8;0;2;5;132;4.4;0;1.8;0;0;0;0;0;2.53333333333333;6;6;5;3;5;5;415.8;1.2;1.2;0.8;4.4;0.8;0.4;0.133333333333333;0.0666666666666666;0.6;3.4;4.2;13.2;54.8;5.6;0;0;1.6;0;3.6;2;3.6;3.6;2;3.6;0;1.8;1.8;0;0.8;1018;5.2;0;-0.2;0
4;2;2;8.5;51.5;16;11;56.5;0;10;2;4;15.5;65;12;7;11;1;0;9;20.5;7.24999999999999;0;4;2.5;1;5;2;2;502.5;1;1;2;4.5;0.5;0.5;0.1;0.125;0.775;3;3.5;24;75.5;4;0;0;2;0;4;3.5;4;4;3.5;4;0;2;2;0;0.5;1391;31.5;0;0.5;0
4;7;2;6.5;53.5;16;11;60;7;6.5;4;2;8.5;127.5;6.5;1;4;2;0;3;10;4.2;0.833333333333331;5;4;2;4;2;2;719;2;2.5;1.5;3;1.5;0.5;0.625;0.125;0.25;2.5;3.5;40;24;4.5;1;1;2;1;5;2.5;5;5;2.5;5;0.5;2.5;2.5;0;0;1469.5;37;0;0.5;0
4;9;5;7.4;52.6;16;11;57.6;2;9.6;5;2;14;50.2;11.4;2;3;3;0;12.2;21;2.91666666666666;4.73333333333333;2;2.2;3;2.6;5;5;768.4;1.2;1.8;1.2;3.6;0.8;0.2;0.216666666666667;0.1;0.683333333333333;2.8;3.8;26;42.6;4.2;1;0.4;2.8;0.8;4.8;2;3.6;4.8;2;3.6;0.3;1.73333333333333;1.73333333333333;0.2;0.6;1411.6;41;0;0.4;0.2
4;11;4;7.75;52.25;16;11;58.25;2;9.5;0;2;9.5;58;8;0;2;0;0;0;3.75;0;4.56666666666666;6;5.25;5;2.5;4;4;602.75;1;1;1;5.75;1.25;0;0.232142857142857;0;0.767857142857143;5;5.5;15.75;59.5;7;0;0;2;0;4;3;4;4;3;4;0;2;2;0;1;1439.25;8.25;0;0.25;0
