min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract
4;5;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[[5:4:1:4]];[[5:4:2:4]];[[5:4:200:4]];[];5;8;2;2;0;1;1;5;0;0;1;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;6;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[[6:3:1:4]:[6:8:1:4]];[[6:3:0:4]:[6:8:2:4]];[];[];6;8;2;0;0;2;1;27;0;0;0;0;0.0;0.0;0.0;2.0;7.0;7.0;7.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;7;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[[7:8:1:4]];[[7:8:1:4]];[[7:6:-100:4]];[];7;9;1;1;0;2;1;46;0;0;0;0;0.0;2.0;2.0;0.0;7.0;1.0;1.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;8;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];8;10;0;5;0;0;0;0;0;0;5;0;3.0;0.0;0.0;0.0;1.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[[4:3:24:5:1:25:24:3:[[5:1:0]]]:[4:7:24:5:3:26:24:7:[[5:3:0]]]:[4:5:24:5:1:27:24:5:[[5:1:1]]]:[4:6:18:5:3:28:18:6:[[5:3:1]]]:[2:29:5:[22]:8]:[6:8:29:5]:[5:29:22:5]];2;10;0;0;0;0;0;332;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;3;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[[3:7:1:5]];[[3:7:1:5]];[[3:7:-200:5]:[3:5:200:5]];[];3;9;1;1;0;1;1;30;0;0;0;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;4;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[[4:6:-300:5]];[];4;10;0;1;0;1;0;44;0;0;0;0;2.0;0.0;0.0;0.0;2.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[[5:7:1:5]];[[5:7:1:5]];[[5:6:-300:5]];[];5;7;3;2;0;2;2;26;0;0;1;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;6;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[[6:4:1:5]];[[6:4:3:5]];[];[];6;5;5;0;0;3;2;13;0;0;0;0;0.0;0.0;0.0;5.0;7.0;7.0;7.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;7;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[[7:7:1:5]];[[7:7:3:5]];[[7:5:200:5]];[];7;6;4;1;0;3;2;28;4;0;0;0;1.0;2.0;2.0;0.0;3.0;2.0;1.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;8;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];8;10;0;6;0;0;0;44;0;0;6;0;3.0;0.0;0.0;0.0;2.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[[1:30:5]:[4:30:18:6:1:31:18:30:[[6:1:1]]]:[2:32:6:[1]:4]:[6:4:32:6]:[5:32:1:6]:[2:33:6:[1]:8]:[6:8:33:6]:[5:33:1:6]:[4:3:19:6:1:34:19:3:[[6:1:0]]]:[4:3:19:6:1:34:19:3:[[6:1:0]:[6:-1:0]]]:[2:36:6:[33]:8]:[6:8:36:6]:[5:36:33:6]];2;10;0;0;0;0;0;412;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;3;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[[3:5:1:6]:[3:5:2:6]];[[3:5:1:6]:[3:5:0:6]];[];[];3;9;1;1;0;3;3;3;0;0;0;0;0.0;4.0;0.0;0.0;8.0;3.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;4;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[[4:30:100:6]];[];4;10;0;2;0;1;0;20;0;0;0;0;6.0;0.0;3.5;0.0;1.0;8.0;1.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;5;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[[5:30:100:6]];[];5;7;3;2;0;2;2;106;0;0;1;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[[6:30:200:6]];[];6;5;5;0;0;3;2;93;0;0;0;0;0.0;0.0;0.0;5.0;7.0;7.0;7.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;7;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];7;6;4;1;0;3;2;108;4;0;0;0;1.0;2.0;2.0;0.0;3.0;2.0;1.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;8;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];8;10;0;8;0;0;0;15;0;0;7;0;3.0;0.0;0.0;0.0;2.0;8.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;30;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[[30]:[30:4:1:6]];[[30]:[30:4:1:6]];[[30]];[];30;9;1;0;0;1;1;27;0;0;0;0;0.0;0.0;0.0;1.5;8.0;8.0;8.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
