D;0;H;76;AgId;Money;Margin;MarginRate;NewMoney;NewMargin;NewMarginRate;m_pNbPerceivedQuality;m_pCurrentSeller;m_pLastListenTime;m_pLeaveAfterTime;m_pArrivalTime;m_pFinishedTime;m_pElapsedTime;m_pTotalTime;m_pMakeTrustAgreements;m_pMaxQueueLength;m_pAveragePriceMarket;m_nNbUsualSellerPerProduct;m_pSpeed;m_pNegociationPart;m_pNegotiationEvolutionSpeed;m_pProbaVisitOtherSeller;m_pCompetitorImpact;m_pRigidityFactor;m_pNbNegOtherProductsUsualSeller;m_pNbNegOtherProducts;m_pNegociationPart;m_pMinimumMargin;m_pMinNbOfVisitedSellerBeforeBuy;m_pProbChangeProductResto;m_pMarketTour;m_pMarketTourNext;m_pTotalBoughtQuantity;GraphNbVisitToday;m_pBoughtQuantity;m_pBasicPrice;m_pPowerQual;m_pPrixQual;m_pMinimumQuality;m_pNeededQuantity;m_pTrustAgreementQuality;m_pMarketToursToday;m_pHasTrustAgreement;m_pToNegEverywhere;m_pTrustAgreementPrice;m_pIsInPrefferedList;m_pDayOfLastTransaction;m_pNbVisitToday;m_pNbVisitTodaySup0;m_pVisitedSellers;
D;1;H;0;110;-634.92;5.08;0.00800101;634.92;5.08;0.00800101;5;00000000;5.28333;0.2;5;5.3;0.3;2.5;1;8;10;1;0.75;0.0206991;0.0516197;0.0546598;5;0.520967;0.01;1;0.0206991;-0.95;1;0.01;1;9;20;[[110:6:1]:[110:9:1]:[110:18:1]:];10;2;1;20;0.6;0;0;1;0;1;0;0.1;-5.95;0.15;1;3;
D;1;H;0;114;-386.2;93.8;0.242879;386.2;93.8;0.242879;5;00000000;5.19972;0.2;5;5.19972;0.199722;2.5;0;8;10;3;0.75;0.114644;0.038012;1;5;0.206495;0.01;1;0.114644;0.05;1;0.01;1;10;20;[[114:7:1]:[114:8:1]:[114:9:1]:[114:10:1]:];10;2;1;20;0.2;0;0;0;0;1;0;0.15;-6;0.2;1;4;
D;1;H;0;119;-372.13;115.87;0.31137;372.13;115.87;0.31137;5;00000000;5.83333;0.2;5;5.85;0.85;2.5;0;8;10;3;0.75;0.105748;0.0441169;1;5;0.257974;0.01;1;0.105748;0.05;1;0.01;0;0;18;[[119:1:1]:[119:2:1]:[119:3:1]:[119:4:1]:[119:5:1]:[119:9:1]:[119:10:1]:[119:12:1]:[119:13:1]:[119:14:1]:[119:15:1]:[119:16:2]:[119:18:1]:[119:19:2]:];9;2;1;20;0.4;1;0;1;0;0.5;0;0.15;-6;0.8;1.14286;14;
D;1;H;2;67;-592.3;87.7;0.148067;592.3;87.7;0.148067;5;00000000;5.38306;0.2;5.03975;5.38306;0.343301;2.5;0;8;10;3;0.75;0.10014;0.0376881;0.0857502;5;0.806082;0.01;1;0.10014;0.05;1;0.01;1;3;20;[[67:3:1]:[67:7:1]:[67:13:1]:[67:15:1]:[67:16:1]:];10;2;1;20;0.7;0;0;0.5;0;0.5;0;0.1;-6;0.25;1;5;
D;1;H;3;86;-586.2;53.8;0.0917776;586.2;53.8;0.0917776;5;00000000;5.31667;0.2;5.06528;5.31667;0.251384;2.5;1;8;10;1;0.75;0.1249;0.06231;0.046619;5;0.529751;0.01;1;0.1249;-0.95;1;0.01;1;11;20;[[86:11:1]:[86:12:1]:[86:14:1]:[86:15:1]:[86:16:1]:];10;2;1;20;0.6;0;0;1;0;1;0;0.1;-6;0.25;1;5;
D;1;H;4;56;-467.1;52.9;0.113252;467.1;52.9;0.113252;5;00000000;5.36639;0.2;5.07161;5.36639;0.29478;2.5;0;8;10;3;0.75;0.0857031;0.0504399;0.0876518;5;0.459527;0.01;1;0.0857031;0.05;1;0.01;1;19;20;[[56:4:1]:[56:17:1]:[56:18:1]:[56:19:1]:];10;2;1;20;0.3;0;0;1;0;1;0;0.15;-6;0.2;1;4;
D;1;H;5;70;-582.2;57.8;0.0992786;582.2;57.8;0.0992786;5;00000000;5.5;0.2;5.09841;5.5;0.401586;2.5;0;8;10;3;0.75;0.0316128;0.0440642;0.0617126;5;0.867648;0.01;1;0.0316128;0.05;1;0.01;1;2;20;[[70:1:1]:[70:2:1]:[70:8:1]:[70:10:1]:[70:18:1]:[70:19:1]:];10;2;1;20;0.6;0;0;0.5;0;0.5;0;0.1;-6;0.3;1;6;
D;1;H;6;117;-227;13;0.0572687;227;13;0.0572687;5;00000000;6.01667;0.2;5.11327;6.03333;0.920067;2.5;0;8;10;3;0.75;0.115376;0.0455707;1;5;0.216875;0.01;1;0.115376;0.05;1;0.01;0;0;10;[[117:3:1]:[117:4:1]:[117:5:1]:[117:6:1]:[117:7:1]:[117:8:1]:[117:9:1]:[117:10:2]:[117:12:1]:[117:14:1]:[117:15:1]:[117:16:1]:[117:17:1]:[117:18:1]:];5;2;1;20;0.2;5;0;1;0;0.5;0;0.1;-6.05;0.75;1.07143;14;
D;1;H;7;92;-502.2;97.8;0.194743;502.2;97.8;0.194743;5;00000000;5.41639;0.2;5.12816;5.41639;0.288226;2.5;1;8;10;1;0.75;0.13142;0.0347149;0.000506099;5;0.674191;0.01;1;0.13142;-0.95;1;0.01;0;0;20;[[92:6:2]:[92:11:1]:[92:12:1]:];10;2;1;20;0.5;0;0;0.5;0;0;0;0.1;-6;0.2;1.33333;3;
D;1;H;8;102;-586.86;13.14;0.0223903;586.86;13.14;0.0223903;5;00000000;5.48306;0.2;5.14149;5.48306;0.341562;2.5;1;8;10;1;0.75;0.0813486;0.0391378;0.0521628;5;0.426238;0.01;1;0.0813486;-0.95;1;0.01;1;5;20;[[102:5:1]:[102:10:1]:[102:13:1]:[102:14:1]:[102:15:1]:];10;2;1;20;0.5;0;0;0.5;0;0.5;0;0.1;-6;0.25;1;5;
D;1;H;8;115;-129.68;70.32;0.542258;129.68;70.32;0.542258;5;00000000;5.66667;0.2;5.14407;5.68333;0.539264;2.5;0;8;10;3;0.75;0.128275;0.0597164;1;5;0.478021;0.01;1;0.128275;0.05;1;0.01;0;0;10;[[115:3:1]:[115:5:1]:[115:7:1]:[115:8:1]:[115:9:1]:[115:10:1]:[115:12:1]:[115:13:1]:[115:14:1]:[115:15:1]:[115:18:1]:];5;2;1;20;0.2;5;0;1;0;0.5;0;0.15;-6.05;0.55;1;11;
D;1;H;9;46;-267.4;132.6;0.495886;267.4;132.6;0.495886;5;00000000;5.5;0.2;5.15828;5.51667;0.358386;2.5;0;8;10;3;0.75;0.0714913;0.0423735;0.115471;5;0.478389;0.01;1;0.0714913;0.05;1;0.01;1;14;20;[[46:4:1]:[46:5:1]:[46:8:1]:[46:14:1]:[46:15:1]:];10;2;1;20;0;0;0;1;0;1;0;0.15;-5.95;0.25;1;5;
D;1;H;9;97;-686.4;-6.4;-0.00932401;686.4;-6.4;-0.00932401;5;00000000;5.61667;0.2;5.15752;5.63333;0.475811;2.5;1;8;10;1;0.75;0.052476;0.0415056;0.0740581;5;0.66498;0.01;1;0.052476;-0.95;1;0.01;1;4;20;[[97:4:1]:[97:5:1]:[97:7:1]:[97:8:1]:[97:9:1]:[97:10:1]:[97:16:1]:];10;2;1;20;0.7;0;0;1;0;1;0;0.1;-5.95;0.35;1;7;
D;1;H;10;42;-266.7;133.3;0.499813;266.7;133.3;0.499813;5;00000000;6.48306;0.2;5.1782;6.49972;1.32152;2.5;0;8;10;3;0.75;0.0751219;0.0604987;0.0913232;5;0.480728;0.01;1;0.0751219;0.05;1;0.01;0;1;20;[[42:1:1]:[42:2:1]:[42:3:1]:[42:4:1]:[42:5:1]:[42:6:1]:[42:7:1]:[42:8:1]:[42:9:1]:[42:10:1]:[42:11:1]:[42:12:1]:[42:13:1]:[42:14:1]:[42:15:1]:[42:16:2]:[42:17:1]:[42:18:1]:[42:19:1]:[42:20:1]:];10;2;1;20;0;0;0;1;0;0.5;0;0.15;-6;1.05;1.05;20;
D;1;H;11;65;-462.26;113.74;0.246052;462.26;113.74;0.246052;5;00000000;5.85;0.2;5.19229;5.86667;0.67438;2.5;0;8;10;3;0.75;0.150837;0.0772307;0.0442889;5;0.664482;0.01;1;0.150837;0.05;1;0.01;0;0;18;[[65:1:1]:[65:2:1]:[65:3:1]:[65:5:1]:[65:7:1]:[65:8:1]:[65:9:1]:[65:10:1]:[65:14:1]:];9;2;1;20;0.6;1;0;1.5;0;0.5;0;0.25;-6;0.45;1;9;
D;1;H;12;31;-315.9;76.1;0.240899;315.9;76.1;0.240899;5;00000000;6.08333;0.2;5.20478;6.1;0.895222;2.5;0;8;10;3;0.75;0.100415;0.0590876;0.0729633;5;0.687495;0.01;1;0.100415;0.05;1;0.01;0;0;18;[[31:2:1]:[31:3:1]:[31:4:1]:[31:5:1]:[31:6:1]:[31:9:1]:[31:10:1]:[31:11:1]:[31:12:1]:[31:13:1]:[31:14:1]:[31:16:1]:[31:18:1]:[31:19:1]:[31:20:1]:];9;2;1;20;0.1;1;0;1;0;0.5;0;0.1;-6;0.75;1;15;
D;1;H;12;53;-130.4;69.6;0.533742;130.4;69.6;0.533742;5;00000000;5.93333;0.2;5.20663;5.95;0.743365;2.5;0;8;10;3;0.75;0.0899087;0.0547182;0.134823;5;0.551891;0.01;1;0.0899087;0.05;1;0.01;0;0;10;[[53:1:1]:[53:4:1]:[53:5:1]:[53:6:1]:[53:8:1]:[53:9:1]:[53:10:1]:[53:16:1]:[53:17:1]:[53:18:1]:[53:19:1]:];5;2;1;20;0.2;5;0;1.5;0;0.5;0;0.15;-6.05;0.55;1;11;
D;1;H;13;103;-280;0;0;280;0;0;5;00000000;6.28333;0.2;5.23283;6.3;1.06717;2.5;1;8;10;1;0.75;0.0764466;0.0626259;0.0225861;5;0.658445;0.01;1;0.0764466;-0.95;1;0.01;0;20;10;[[103:1:1]:[103:2:1]:[103:3:1]:[103:4:1]:[103:5:1]:[103:6:1]:[103:7:1]:[103:8:1]:[103:9:1]:[103:10:1]:[103:11:1]:[103:12:1]:[103:13:1]:[103:14:1]:[103:15:1]:[103:16:1]:[103:17:1]:[103:18:1]:[103:19:1]:[103:20:1]:];5;2;1;20;0.6;5;0;0.5;0;0.5;0;0.05;-6.05;1;1;20;
D;1;H;13;104;-536.95;63.05;0.117422;536.95;63.05;0.117422;5;00000000;5.53333;0.2;5.2312;5.53333;0.302134;2.5;1;8;10;1;0.75;0.15325;0.0445009;0.0439605;5;0.633701;0.01;1;0.15325;-0.95;1;0.01;0;0;20;[[104:2:1]:[104:3:2]:[104:4:1]:[104:5:1]:[104:6:1]:[104:9:1]:];10;2;1;20;0.5;0;0;0.5;0;0;0;0.1;-5.95;0.35;1.16667;6;
D;1;H;15;59;-251.48;148.52;0.590584;251.48;148.52;0.590584;5;00000000;6.54972;0.2;5.2613;6.54972;1.28842;2.5;0;8;10;3;0.75;0.121912;0.0542163;0.0836487;5;0.738112;0.01;1;0.121912;0.05;1;0.01;0;2;20;[[59:1:1]:[59:2:1]:[59:3:1]:[59:4:1]:[59:5:1]:[59:6:1]:[59:7:1]:[59:8:1]:[59:9:1]:[59:10:1]:[59:11:1]:[59:12:1]:[59:13:2]:[59:14:1]:[59:15:1]:[59:16:1]:[59:17:1]:[59:18:1]:[59:19:1]:[59:20:1]:];10;2;1;20;0;0;0;1;0;0.5;0;0.15;-6;1.05;1.05;20;
D;1;H;16;36;-276.44;123.56;0.446969;276.44;123.56;0.446969;5;00000000;5.68333;0.2;5.27822;5.7;0.421781;2.5;0;8;10;3;0.75;0.198265;0.0402715;0.0852569;5;0.50761;0.01;1;0.198265;0.05;1;0.01;1;1;20;[[36:1:1]:[36:5:1]:[36:7:1]:[36:17:1]:[36:18:1]:[36:19:1]:];10;2;1;20;0;0;0;1;0;1;0;0.2;-5.9;0.3;1;6;
D;1;H;16;99;-605.9;34.1;0.0562799;605.9;34.1;0.0562799;5;00000000;5.48306;0.2;5.28295;5.48306;0.200107;2.5;1;8;10;1;0.75;0.0971776;0.0703709;0.0384749;5;0.506076;0.01;1;0.0971776;-0.95;1;0.01;1;4;20;[[99:2:1]:[99:4:1]:];10;2;1;20;0.6;0;0;0.5;0;0.5;0;0.1;-6;0.1;1;2;
D;1;H;21;48;-129.1;70.9;0.549187;129.1;70.9;0.549187;5;00000000;6.74972;0.2;5.35976;6.74972;1.38996;2.5;0;8;10;3;0.75;0.0774717;0.0371793;0.109846;5;0.741883;0.01;1;0.0774717;0.05;1;0.01;0;1;10;[[48:1:1]:[48:2:1]:[48:3:1]:[48:4:1]:[48:5:1]:[48:6:1]:[48:7:1]:[48:8:1]:[48:9:1]:[48:10:1]:[48:11:1]:[48:12:1]:[48:13:2]:[48:14:1]:[48:15:1]:[48:16:2]:[48:17:1]:[48:18:1]:[48:19:1]:[48:20:1]:];5;2;1;20;0.1;5;0;1;0;0.5;0;0.1;-6.05;1.1;1.1;20;
D;1;H;21;101;-771.1;-51.1;-0.066269;771.1;-51.1;-0.066269;5;00000000;5.53333;0.2;5.36316;5.53333;0.170177;2.5;1;8;10;1;0.75;0.0658674;0.056414;0.0313944;5;0.529133;0.01;1;0.0658674;-0.95;1;0.01;0;0;20;[[101:12:1]:[101:18:1]:];10;2;1;20;0.8;0;0;0;0;0;0;0.1;-6;0.1;1;2;
D;1;H;25;91;-734.01;-54.01;-0.0735821;734.01;-54.01;-0.0735821;5;00000000;6.15;0.2;5.41669;6.16667;0.749974;2.5;1;8;10;1;0.75;0.0982383;0.0432678;0.0762338;5;0.581003;0.01;1;0.0982383;-0.95;1;0.01;1;1;20;[[91:1:1]:[91:3:1]:[91:4:1]:[91:7:1]:[91:8:1]:[91:10:1]:[91:11:1]:[91:12:1]:[91:13:1]:[91:15:1]:];10;2;1;20;0.7;0;0;1;0;0.5;0;0.1;-5.9;0.5;1;10;
D;1;H;26;33;-51.64;28.36;0.549187;51.64;28.36;0.549187;5;00000000;6.81639;0.2;5.43575;6.83306;1.3973;2.5;0;8;10;3;0.75;0.0672594;0.0668988;0.144032;5;0.665557;0.01;1;0.0672594;0.05;1;0.01;0;13;4;[[33:1:1]:[33:2:1]:[33:3:1]:[33:4:1]:[33:5:1]:[33:6:1]:[33:7:1]:[33:8:1]:[33:9:1]:[33:10:2]:[33:11:1]:[33:12:1]:[33:13:1]:[33:14:1]:[33:15:1]:[33:16:2]:[33:17:1]:[33:18:1]:[33:19:1]:[33:20:1]:];2;2;1;20;0.1;8;0;1;0;0.5;0;0.1;-6.05;1.1;1.1;20;
D;1;H;27;116;-294.8;65.2;0.221167;294.8;65.2;0.221167;5;00000000;6.05;0.2;5.46133;6.06667;0.605337;2.5;0;8;10;3;0.75;0.110638;0.0534852;1;5;0.0737059;0.01;1;0.110638;0.05;1;0.01;0;0;10;[[116:4:1]:[116:5:1]:[116:6:1]:[116:10:1]:[116:11:1]:[116:12:1]:[116:13:1]:[116:14:1]:[116:16:1]:[116:19:1]:];5;2;1;20;0.4;5;0;1;0;0.5;0;0.1;-6.05;0.5;1;10;
D;1;H;28;54;0;0;0;0;0;0;5;00000000;6.93306;0.2;5.47756;6.93306;1.4555;2.5;0;8;10;3;0.75;0.0967369;0.075191;0.125281;5;0.656999;0.01;1;0.0967369;0.05;1;0.01;0;9;0;[[54:1:1]:[54:2:1]:[54:3:1]:[54:4:1]:[54:5:1]:[54:6:1]:[54:7:1]:[54:8:1]:[54:9:1]:[54:10:1]:[54:11:1]:[54:12:1]:[54:13:2]:[54:14:1]:[54:15:1]:[54:16:1]:[54:17:1]:[54:18:1]:[54:19:1]:[54:20:1]:];0;2;1;20;0.1;10;0;1;0;0.5;0;0.05;-6.05;1.05;1.05;20;
D;1;H;30;40;-367.66;112.34;0.305554;367.66;112.34;0.305554;5;00000000;5.86667;0.2;5.51298;5.86667;0.353689;2.5;0;8;10;3;0.75;0.0879801;0.040802;0.13219;5;0.768125;0.01;1;0.0879801;0.05;1;0.01;1;16;20;[[40:3:1]:[40:4:1]:[40:5:1]:[40:6:1]:[40:7:1]:[40:8:1]:[40:15:1]:[40:16:1]:];10;2;1;20;0.2;0;0;1;0;0.5;0;0.2;-6;0.4;1;8;
