IDBuyer;run;r;Day;r;Hour;r;r;Seller;r;Buyer;r;Prod;Qte/dem;QualID;r;FinPrice;r;TransPrice;r;StdPrice;suply/demand;ProdPrice;sup2/dem2;Age;r;Qty;margStdPr;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10047;;D;1;H;92;Trans;From;20;To;47;Pr;1;Qual;3;FinPrice;32;Price;30,06;StdPrice;30,06;BuyPrice;15,64;Age;0;Qty;5;Qual;0,651825;1;11100;44,4944;90;165;165;0,064537591;0,921994885;0,322687957;4,609974425;230;383;1,7;0,02173913;0,01305483;N;XP4;11147;100
10052;;D;1;H;93;Trans;From;13;To;52;Pr;0;Qual;1;FinPrice;32;Price;29,93;StdPrice;29,93;BuyPrice;16,72;Age;0;Qty;5;Qual;0,616976;1;10100;43,1556;90;176;176;0,069161377;0,79007177;0,345806883;3,950358852;230;389;1,7;0,02173913;0,01285347;N;XP4;10152;90
10037;;D;1;H;93;Trans;From;16;To;37;Pr;1;Qual;1;FinPrice;24;Price;16,23;StdPrice;16,23;BuyPrice;16,23;Age;1;Qty;10;Qual;0,249344;0;11000;0;90;0;0;0,478743068;0;4,787430684;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11037;220
10040;;D;1;H;94;Trans;From;8;To;40;Pr;0;Qual;1;FinPrice;20;Price;14,47;StdPrice;14,47;BuyPrice;14,47;Age;1;Qty;7;Qual;0,299303;0;10000;0;90;0;0;0,382170007;0;2,675190048;0;200;271;1,4;0,035;0,025830258;B;XP4;10040;160
10036;;D;1;H;102;Trans;From;8;To;36;Pr;0;Qual;1;FinPrice;20;Price;14,47;StdPrice;17,8;BuyPrice;17,81;Age;1;Qty;10;Qual;0,323995;0;10000;0;100;0;0;0,382170007;-0,187535093;3,821700069;-1,875350926;200;271;1,4;0,05;0,036900369;B;XP4;10036;160
10068;;D;1;H;103;Trans;From;8;To;68;Pr;0;Qual;4;FinPrice;36;Price;31,58;StdPrice;31,58;BuyPrice;16,99;Age;0;Qty;10;Qual;0,838834;2;10200;46,1878;100;372;372;0,139962001;0,858740436;1,399620013;8,587404356;70;377;5,4;0,142857143;0,026525199;T;XP4;10268;100
10030;;D;1;H;103;Trans;From;6;To;30;Pr;0;Qual;0;FinPrice;20;Price;14,51;StdPrice;14,51;BuyPrice;14,51;Age;1;Qty;10;Qual;0,284663;0;10000;0;100;0;0;0,378359752;0;3,783597519;0;200;271;1,4;0,05;0,036900369;B;XP4;10030;120
10047;;D;1;H;104;Trans;From;19;To;47;Pr;0;Qual;1;FinPrice;32;Price;29,6;StdPrice;33,35;BuyPrice;20,52;Age;0;Qty;10;Qual;0,9999;2;10200;46,1878;100;372;372;0,081081081;0,442495127;0,810810811;4,424951267;70;377;5,4;0,142857143;0,026525199;N;XP4;10247;100
10056;;D;1;H;104;Trans;From;4;To;56;Pr;2;Qual;3;FinPrice;36;Price;33,34;StdPrice;33,34;BuyPrice;20,47;Age;0;Qty;8;Qual;0,9999;2;12200;46,2121;100;378;378;0,079784043;0,628724963;0,638272346;5,029799707;71;608;8,6;0,112676056;0,013157895;R;XP4;12256;270
10025;;D;1;H;107;Trans;From;7;To;25;Pr;1;Qual;0;FinPrice;20;Price;14,94;StdPrice;14,94;BuyPrice;14,94;Age;1;Qty;10;Qual;0,123843;0;11000;0;110;0;0;0,338688086;0;3,386880857;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11025;110
