40048		D	4	H	26	Trans	From	14	To	48	Pr	2	Qual	5	FinPrice	36	Price	21.34	StdPrice	21.34	BuyPrice	17.96	Age	0	Qty	10	Qual	0.867496	2	42200	24.7211	30	441	388	0.686972821	0.188195991	6.86972821	1.881959911	70	496	7.1	0.142857143	0.02016129	N	XP4	42248	30	0.0	0.0
40053		D	4	H	26	Trans	From	15	To	53	Pr	1	Qual	2	FinPrice	36	Price	20.61	StdPrice	20.72	BuyPrice	16.51	Age	0	Qty	10	Qual	0.947018	2	41200	24.9478	30	354	287	0.746724891	0.248334343	7.467248908	2.483343428	50	384	7.7	0.2	0.026041667	N	XP4	41253	30	0.0	0.0
40048		D	4	H	29	Trans	From	20	To	48	Pr	1	Qual	3	FinPrice	32	Price	19.97	StdPrice	20.18	BuyPrice	15.5	Age	0	Qty	5	Qual	0.620775	1	41100	24.8664	30	308	144	0.602403605	0.288387097	3.012018027	1.441935484	230	355	1.5	0.02173913	0.014084507	N	XP4	41148	30	0.0	0.0
40047		D	4	H	30	Trans	From	4	To	47	Pr	0	Qual	2	FinPrice	32	Price	21.91	StdPrice	22.14	BuyPrice	17.51	Age	0	Qty	4	Qual	0.739013	2	40200	26.7721	30	368	368	0.46052031	0.25128498	1.842081241	1.00513992	70	390	5.6	0.057142857	0.01025641	N	XP4	40247	100	0.0	0.0
40048		D	4	H	30	Trans	From	19	To	48	Pr	1	Qual	1	FinPrice	32	Price	23.24	StdPrice	24.65	BuyPrice	15.18	Age	0	Qty	5	Qual	0.708274	2	41200	24.9478	30	354	287	0.376936317	0.530961792	1.884681583	2.654808959	50	384	7.7	0.1	0.013020833	N	XP4	41248	30	0.0	0.0
40052		D	4	H	31	Trans	From	7	To	52	Pr	2	Qual	4	FinPrice	32	Price	21.19	StdPrice	21.41	BuyPrice	18.11	Age	0	Qty	10	Qual	0.864073	2	42200	24.7211	30	441	388	0.510146295	0.170071784	5.101462954	1.700717835	70	496	7.1	0.142857143	0.02016129	N	XP4	42252	30	0.0	0.0
40047		D	4	H	32	Trans	From	19	To	47	Pr	2	Qual	1	FinPrice	32	Price	20.28	StdPrice	20.49	BuyPrice	18.1	Age	0	Qty	10	Qual	0.658014	1	42100	22.8917	30	850	264	0.57790927	0.120441989	5.779092702	1.20441989	227	710	3.1	0.044052863	0.014084507	N	XP4	42147	100	0.0	0.0
40055		D	4	H	32	Trans	From	3	To	55	Pr	0	Qual	2	FinPrice	32	Price	24.71	StdPrice	21.86	BuyPrice	16.95	Age	0	Qty	10	Qual	0.713858	2	40200	26.7721	30	368	368	0.295022258	0.457817109	2.950222582	4.578171091	70	390	5.6	0.142857143	0.025641026	R	XP4	40255	180	0.0	0.0
40043		D	4	H	38	Trans	From	8	To	43	Pr	2	Qual	3	FinPrice	32	Price	20.12	StdPrice	20.21	BuyPrice	15.7	Age	0	Qty	10	Qual	0.735188	2	42200	24.7211	40	441	388	0.590457256	0.281528662	5.904572565	2.815286624	70	496	7.1	0.142857143	0.02016129	N	XP4	42243	40	0.0	0.0
40043		D	4	H	38	Trans	From	8	To	43	Pr	0	Qual	3	FinPrice	32	Price	20.06	StdPrice	20.27	BuyPrice	17.6	Age	0	Qty	10	Qual	0.615006	1	40100	22.9547	40	313	169	0.595214357	0.139772727	5.952143569	1.397727273	230	265	1.2	0.043478261	0.037735849	N	XP4	40143	40	0.0	0.0
40043		D	4	H	40	Trans	From	18	To	43	Pr	1	Qual	7	FinPrice	32	Price	28.26	StdPrice	28.26	BuyPrice	16.62	Age	0	Qty	10	Qual	0.73944	2	41200	24.9478	40	354	287	0.132342534	0.700361011	1.323425336	7.003610108	50	384	7.7	0.2	0.026041667	N	XP4	41243	40	0.0	0.0
40046		D	4	H	41	Trans	From	19	To	46	Pr	1	Qual	1	FinPrice	32	Price	24.65	StdPrice	24.65	BuyPrice	15.18	Age	0	Qty	10	Qual	0.708274	2	41200	24.9478	40	354	287	0.298174442	0.623847167	2.981744422	6.238471673	50	384	7.7	0.2	0.026041667	N	XP4	41246	50	0.0	0.0
40066		D	4	H	43	Trans	From	17	To	66	Pr	0	Qual	5	FinPrice	32	Price	21.54	StdPrice	41.61	BuyPrice	19.21	Age	0	Qty	10	Qual	0.667125	2	40200	26.7721	40	368	368	0.485608171	0.121290994	4.856081708	1.212909943	70	390	5.6	0.142857143	0.025641026	R	XP4	40266	50	0.0	0.0
40046		D	4	H	45	Trans	From	5	To	46	Pr	2	Qual	1	FinPrice	32	Price	30.18	StdPrice	31.44	BuyPrice	18.86	Age	1	Qty	10	Qual	0.638308	1	42100	22.8917	50	850	264	0.060304838	0.600212089	0.603048376	6.002120891	227	710	3.1	0.044052863	0.014084507	N	XP4	42146	50	0.0	0.0
40046		D	4	H	46	Trans	From	17	To	46	Pr	0	Qual	7	FinPrice	36	Price	22.95	StdPrice	22.95	BuyPrice	19.14	Age	0	Qty	10	Qual	0.980324	2	40200	26.7721	50	368	368	0.568627451	0.199059561	5.68627451	1.990595611	70	390	5.6	0.142857143	0.025641026	N	XP4	40246	50	0.0	0.0
40066		D	4	H	47	Trans	From	3	To	66	Pr	1	Qual	2	FinPrice	32	Price	22.22	StdPrice	35.89	BuyPrice	16.3	Age	0	Qty	2	Qual	0.685763	2	41200	24.9478	50	354	287	0.440144014	0.363190184	0.880288029	0.726380368	50	384	7.7	0.04	0.005208333	R	XP4	41266	50	0.0	0.0
40066		D	4	H	50	Trans	From	20	To	66	Pr	2	Qual	3	FinPrice	32	Price	23.54	StdPrice	21.48	BuyPrice	15.1	Age	0	Qty	9	Qual	0.606073	1	42100	22.8917	50	850	264	0.359388275	0.558940397	3.234494477	5.030463576	227	710	3.1	0.039647577	0.012676056	R	XP4	42166	50	0.0	0.0
40025		D	4	H	57	Trans	From	15	To	25	Pr	2	Qual	0	FinPrice	20	Price	18.34	StdPrice	18.72	BuyPrice	16.28	Age	3	Qty	10	Qual	0.0696465	0	42000	21.1797	60	650	0	0.090512541	0.126535627	0.905125409	1.265356265	200	577	2.9	0.05	0.017331023	B	XP4	42025	80	0.0	0.0
40059		D	4	H	58	Trans	From	5	To	59	Pr	2	Qual	0	FinPrice	28	Price	22.93	StdPrice	20.88	BuyPrice	18.88	Age	2	Qty	10	Qual	0.457434	1	42100	22.8917	60	850	264	0.221107719	0.214512712	2.211077191	2.145127119	227	710	3.1	0.044052863	0.014084507	R	XP4	42159	250	0.0	0.0
40030		D	4	H	59	Trans	From	6	To	30	Pr	0	Qual	0	FinPrice	20	Price	18.84	StdPrice	19.28	BuyPrice	14.75	Age	1	Qty	10	Qual	0.0643321	0	40000	23.82	60	194	0	0.061571125	0.277288136	0.615711253	2.772881356	200	163	0.8	0.05	0.061349693	B	XP4	40030	70	0.0	0.0
40045		D	4	H	60	Trans	From	18	To	45	Pr	1	Qual	7	FinPrice	32	Price	28.26	StdPrice	28.26	BuyPrice	16.62	Age	0	Qty	9	Qual	0.73944	2	41200	24.9478	60	354	287	0.132342534	0.700361011	1.191082803	6.303249097	50	384	7.7	0.18	0.0234375	N	XP4	41245	60	0.0	0.0
40062		D	4	H	61	Trans	From	13	To	62	Pr	0	Qual	1	FinPrice	36	Price	23.08	StdPrice	33.95	BuyPrice	18.55	Age	0	Qty	10	Qual	0.9999	2	40200	26.7721	60	368	368	0.559792028	0.244204852	5.597920277	2.442048518	70	390	5.6	0.142857143	0.025641026	R	XP4	40262	170	0.0	0.0
